Th,FAR,FRR
-379,0.401816911,0.001956947
-378,0.401118099,0.001956947
-377,0.400419287,0.001956947
-376,0.399720475,0.001956947
-375,0.399371069,0.001956947
-374,0.398672257,0.001956947
-373,0.397624039,0.001956947
-372,0.396226415,0.001956947
-371,0.395877009,0.001956947
-370,0.394479385,0.001956947
-369,0.394129979,0.001956947
-368,0.393431167,0.001956947
-367,0.393431167,0.001956947
-366,0.392732355,0.001956947
-365,0.392033543,0.001956947
-364,0.391684137,0.001956947
-363,0.391334731,0.001956947
-362,0.389587701,0.001956947
-361,0.388888889,0.001956947
-360,0.388539483,0.001956947
-359,0.387141859,0.001956947
-358,0.385394829,0.001956947
-357,0.384696017,0.001956947
-356,0.384346611,0.001956947
-355,0.384346611,0.001956947
-354,0.382599581,0.001956947
-353,0.382250175,0.001956947
-352,0.381900769,0.001956947
-351,0.381551363,0.001956947
-350,0.380503145,0.001956947
-349,0.379454927,0.001956947
-348,0.379105521,0.001956947
-347,0.377707897,0.001956947
-346,0.377358491,0.001956947
-345,0.376659679,0.001956947
-344,0.376310273,0.001956947
-343,0.375960867,0.001956947
-342,0.375262055,0.001956947
-341,0.374213836,0.001956947
-340,0.372816212,0.001956947
-339,0.372466806,0.001956947
-338,0.371767994,0.001956947
-337,0.371069182,0.001956947
-336,0.36862334,0.001956947
-335,0.367924528,0.001956947
-334,0.367924528,0.001956947
-333,0.36687631,0.001956947
-332,0.366177498,0.001956947
-331,0.366177498,0.001956947
-330,0.365478686,0.001956947
-329,0.364779874,0.001956947
-328,0.364430468,0.001956947
-327,0.36338225,0.001956947
-326,0.362683438,0.001956947
-325,0.362334032,0.002609263
-324,0.36163522,0.002609263
-323,0.360936408,0.002609263
-322,0.360936408,0.002609263
-321,0.35988819,0.002609263
-320,0.358839972,0.002609263
-319,0.357442348,0.002609263
-318,0.357092942,0.002609263
-317,0.35639413,0.002609263
-316,0.355695318,0.002609263
-315,0.3546471,0.002609263
-314,0.352550664,0.002609263
-313,0.352201258,0.002609263
-312,0.35115304,0.003261579
-311,0.350454228,0.003261579
-310,0.350104822,0.003261579
-309,0.34940601,0.003913894
-308,0.348707198,0.003913894
-307,0.348357792,0.003913894
-306,0.348008386,0.003913894
-305,0.347309574,0.003913894
-304,0.346610762,0.003913894
-303,0.346261356,0.003913894
-302,0.345562544,0.003913894
-301,0.345562544,0.003913894
-300,0.344863732,0.003913894
-299,0.344514326,0.003913894
-298,0.34416492,0.003913894
-297,0.343466108,0.003913894
-296,0.343116702,0.003913894
-295,0.342767296,0.003913894
-294,0.34241789,0.003913894
-293,0.341719078,0.003913894
-292,0.339972048,0.003913894
-291,0.338923829,0.003913894
-290,0.337875611,0.003913894
-289,0.337526205,0.003913894
-288,0.336477987,0.003913894
-287,0.336128581,0.003913894
-286,0.335080363,0.003913894
-285,0.334381551,0.003913894
-284,0.334032145,0.003913894
-283,0.333682739,0.003913894
-282,0.332634521,0.003913894
-281,0.332285115,0.003913894
-280,0.332285115,0.003913894
-279,0.331236897,0.00456621
-278,0.330538085,0.00456621
-277,0.329489867,0.00456621
-276,0.329489867,0.00456621
-275,0.329140461,0.00456621
-274,0.329140461,0.00456621
-273,0.327393431,0.00456621
-272,0.326345213,0.00456621
-271,0.325995807,0.00456621
-270,0.325646401,0.00456621
-269,0.324248777,0.00456621
-268,0.323899371,0.00456621
-267,0.322851153,0.00456621
-266,0.322851153,0.00456621
-265,0.322851153,0.00456621
-264,0.322152341,0.00456621
-263,0.320055905,0.00456621
-262,0.319357093,0.00456621
-261,0.317959469,0.00456621
-260,0.316911251,0.00456621
-259,0.316561845,0.00456621
-258,0.315164221,0.00456621
-257,0.314814815,0.00456621
-256,0.314814815,0.00456621
-255,0.314465409,0.00456621
-254,0.313417191,0.00456621
-253,0.312368973,0.00456621
-252,0.311670161,0.00456621
-251,0.311320755,0.00456621
-250,0.311320755,0.00456621
-249,0.311320755,0.00456621
-248,0.311320755,0.00456621
-247,0.310272537,0.00456621
-246,0.308874913,0.00456621
-245,0.307477289,0.00456621
-244,0.306079665,0.00456621
-243,0.304682041,0.00456621
-242,0.303983229,0.00456621
-241,0.302585604,0.00456621
-240,0.302585604,0.00456621
-239,0.301886792,0.00456621
-238,0.30118798,0.00456621
-237,0.30118798,0.005218526
-236,0.299790356,0.005218526
-235,0.29944095,0.005218526
-234,0.298392732,0.005218526
