Th,FAR,FRR
25,0.405660377,0.001984127
26,0.394129979,0.001984127
27,0.387840671,0.001984127
28,0.383647799,0.001984127
29,0.3721174,0.003968254
30,0.357442348,0.003968254
31,0.341719078,0.003968254
32,0.330188679,0.003968254
33,0.319706499,0.003968254
34,0.308176101,0.003968254
35,0.303983229,0.003968254
36,0.296645702,0.003968254
37,0.28197065,0.003968254
38,0.269392034,0.003968254
39,0.255765199,0.003968254
40,0.248427673,0.003968254
41,0.238993711,0.003968254
42,0.232704403,0.003968254
43,0.216981132,0.003968254
44,0.209643606,0.003968254
45,0.199161426,0.003968254
46,0.188679245,0.003968254
47,0.181341719,0.003968254
48,0.170859539,0.003968254
49,0.160377358,0.003968254
50,0.147798742,0.005952381
51,0.139412998,0.005952381
52,0.134171908,0.005952381
53,0.119496855,0.007936508
54,0.109014675,0.007936508
55,0.094339623,0.009920635
56,0.085953878,0.009920635
57,0.083857442,0.015873016
58,0.075471698,0.017857143
59,0.070230608,0.01984127
60,0.061844864,0.01984127
61,0.053459119,0.01984127
62,0.047169811,0.01984127
63,0.039832285,0.021825397
64,0.037735849,0.023809524
65,0.030398323,0.025793651
66,0.027253669,0.031746032
67,0.023060797,0.033730159
68,0.019916143,0.033730159
69,0.018867925,0.033730159
70,0.011530398,0.035714286
71,0.011530398,0.037698413
72,0.01048218,0.03968254
73,0.01048218,0.043650794
74,0.007337526,0.049603175
75,0.006289308,0.057539683
76,0.00524109,0.063492063
77,0.004192872,0.067460317
78,0.004192872,0.069444444
79,0.003144654,0.08531746
80,0.001048218,0.103174603
81,0.001048218,0.125
82,0.001048218,0.136904762
83,0.001048218,0.146825397
84,0,0.156746032
85,0,0.202380952
86,0,0.226190476
87,0,0.253968254
88,0,0.30952381
89,0,0.359126984
90,0,0.404761905
