Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7,Th8,FAR8,FRR8
-3,0.383647799,0.07053637,-17,0.386792453,0.004878049,-20,0.387902331,0.003164557,8,0.389567148,0.028481013,-23,0.388140162,0.017902813,-31,0.385744235,0.025793651,-18,0.395116537,0.004219409,42,0.399371069,0.014836795
-2,0.372641509,0.072005878,-16,0.36535163,0.004878049,-19,0.369034406,0.003164557,9,0.387902331,0.028481013,-22,0.386118598,0.017902813,-30,0.383647799,0.025793651,-17,0.385127636,0.004219409,43,0.399371069,0.014836795
-1,0.362028302,0.074944893,-15,0.341337907,0.004878049,-18,0.350166482,0.003164557,10,0.386237514,0.028481013,-21,0.384770889,0.017902813,-29,0.374213836,0.025793651,-16,0.377358491,0.004219409,44,0.399371069,0.014836795
0,0.355738994,0.076414401,-14,0.319039451,0.004878049,-17,0.326304107,0.003164557,11,0.384572697,0.028481013,-20,0.379380054,0.017902813,-28,0.368972746,0.025793651,-15,0.363485017,0.005274262,45,0.397798742,0.014836795
1,0.347877358,0.077883909,-13,0.302744425,0.004878049,-16,0.300221976,0.004219409,12,0.38290788,0.028481013,-19,0.376684636,0.017902813,-27,0.36163522,0.025793651,-14,0.354051054,0.006329114,46,0.397798742,0.014836795
2,0.340015723,0.077883909,-12,0.276157804,0.006504065,-15,0.280244173,0.004219409,13,0.381798002,0.028481013,-18,0.372641509,0.017902813,-26,0.360587002,0.027777778,-13,0.340732519,0.006329114,47,0.397798742,0.014836795
3,0.330188679,0.08008817,-11,0.254716981,0.006504065,-14,0.264150943,0.004219409,14,0.380133185,0.028481013,-17,0.371293801,0.017902813,-25,0.35115304,0.027777778,-12,0.332963374,0.007383966,48,0.397798742,0.014836795
4,0.321147799,0.083027186,-10,0.239279588,0.006504065,-13,0.240288568,0.004219409,15,0.378468368,0.028481013,-16,0.369272237,0.017902813,-24,0.341719078,0.027777778,-11,0.322419534,0.007383966,49,0.393081761,0.014836795
5,0.308569182,0.08376194,-9,0.216123499,0.006504065,-12,0.213096559,0.005274262,16,0.375693674,0.029535865,-15,0.368598383,0.017902813,-23,0.320754717,0.031746032,-10,0.310210877,0.007383966,50,0.391509434,0.014836795
6,0.297955975,0.085966201,-8,0.194682676,0.006504065,-11,0.196448391,0.005274262,17,0.37236404,0.029535865,-14,0.364555256,0.017902813,-22,0.311320755,0.031746032,-9,0.296337403,0.007383966,51,0.38836478,0.014836795
7,0.284591195,0.087435709,-7,0.166380789,0.006504065,-10,0.176470588,0.008438819,18,0.369034406,0.029535865,-13,0.360512129,0.017902813,-21,0.303983229,0.033730159,-8,0.285793563,0.007383966,52,0.38836478,0.014836795
8,0.277122642,0.088905217,-6,0.144082333,0.008130081,-9,0.154827969,0.008438819,19,0.36681465,0.029535865,-12,0.359838275,0.017902813,-20,0.290356394,0.033730159,-7,0.279134295,0.007383966,53,0.38836478,0.014836795
9,0.265330189,0.091109478,-5,0.120926244,0.011382114,-8,0.135960044,0.009493671,20,0.363485017,0.029535865,-11,0.354447439,0.017902813,-19,0.280922432,0.033730159,-6,0.266370699,0.007383966,54,0.383647799,0.014836795
10,0.255110063,0.09331374,-4,0.09948542,0.014634146,-7,0.110987791,0.009493671,21,0.360155383,0.030590717,-10,0.351078167,0.017902813,-18,0.273584906,0.035714286,-5,0.256936737,0.008438819,55,0.382075472,0.014836795
11,0.247641509,0.094048494,-3,0.080617496,0.016260163,-6,0.092119867,0.010548523,22,0.355160932,0.03164557,-9,0.350404313,0.017902813,-17,0.255765199,0.037698413,-4,0.246947836,0.008438819,56,0.382075472,0.014836795
12,0.236242138,0.094783248,-2,0.065180103,0.021138211,-5,0.074916759,0.01371308,23,0.351831299,0.03164557,-8,0.346361186,0.017902813,-16,0.245283019,0.037698413,-3,0.235849057,0.008438819,57,0.380503145,0.014836795
13,0.224842767,0.095518001,-1,0.054030875,0.024390244,-4,0.066037736,0.016877637,24,0.349611543,0.03164557,-7,0.343665768,0.017902813,-15,0.237945493,0.03968254,-2,0.225305216,0.008438819,58,0.375786164,0.014836795
14,0.213050314,0.096252755,0,0.036878216,0.029268293,-3,0.054384018,0.022151899,25,0.347946726,0.03164557,-6,0.34097035,0.017902813,-14,0.22327044,0.03968254,-1,0.211431743,0.008438819,59,0.375786164,0.014836795
15,0.202044025,0.096987509,1,0.022298456,0.032520325,-2,0.040510544,0.026371308,26,0.346281909,0.03164557,-5,0.338948787,0.017902813,-13,0.20754717,0.041666667,0,0.199778024,0.008438819,60,0.374213836,0.014836795
16,0.189072327,0.099191771,2,0.019725557,0.035772358,-1,0.027746948,0.02742616,27,0.342397336,0.032700422,-4,0.336253369,0.017902813,-12,0.190775681,0.043650794,1,0.192008879,0.008438819,61,0.372641509,0.014836795
17,0.179638365,0.102130786,3,0.01457976,0.043902439,0,0.017758047,0.028481013,28,0.33518313,0.032700422,-3,0.330862534,0.017902813,-11,0.176100629,0.047619048,2,0.1809101,0.008438819,62,0.371069182,0.014836795
18,0.166273585,0.104335048,4,0.007718696,0.056910569,1,0.011653718,0.029535865,29,0.332963374,0.032700422,-2,0.330188679,0.017902813,-10,0.168763103,0.047619048,3,0.177025527,0.008438819,63,0.371069182,0.014836795
19,0.155660377,0.105069802,5,0.005145798,0.068292683,2,0.008324084,0.037974684,30,0.330743618,0.032700422,-1,0.329514825,0.017902813,-9,0.156184486,0.047619048,4,0.167591565,0.008438819,64,0.371069182,0.014836795
