Th,FAR,FRR
402,0.401111111,0.00617284
403,0.39962963,0.00617284
404,0.398888889,0.00617284
405,0.397777778,0.00617284
406,0.395555556,0.00617284
407,0.393333333,0.00617284
408,0.391851852,0.00617284
409,0.391481481,0.00617284
410,0.39037037,0.00617284
411,0.387777778,0.00617284
412,0.385925926,0.00617284
413,0.382962963,0.00617284
414,0.380740741,0.00617284
415,0.379259259,0.00617284
416,0.376666667,0.00617284
417,0.375555556,0.00617284
418,0.374814815,0.00617284
419,0.372962963,0.00617284
420,0.372592593,0.00617284
421,0.37,0.00617284
422,0.37,0.00617284
423,0.367407407,0.00617284
424,0.365925926,0.00617284
425,0.364444444,0.00617284
426,0.363333333,0.00617284
427,0.361111111,0.00617284
428,0.35962963,0.00617284
429,0.358518519,0.00617284
430,0.357037037,0.00617284
431,0.356666667,0.00617284
432,0.355185185,0.00617284
433,0.354074074,0.00617284
434,0.352592593,0.00617284
435,0.351111111,0.00617284
436,0.348888889,0.00617284
437,0.346666667,0.00617284
438,0.343333333,0.00617284
439,0.341111111,0.00617284
440,0.338888889,0.00617284
441,0.336666667,0.00617284
442,0.334814815,0.00617284
443,0.332962963,0.00617284
444,0.331851852,0.00617284
445,0.328888889,0.00617284
446,0.328518519,0.00617284
447,0.327407407,0.00617284
448,0.326296296,0.00617284
449,0.325555556,0.00617284
450,0.324444444,0.00617284
451,0.322962963,0.00617284
452,0.322222222,0.00617284
453,0.32,0.00617284
454,0.32,0.00617284
455,0.318518519,0.00617284
456,0.316666667,0.00617284
457,0.315925926,0.00617284
458,0.314074074,0.00617284
459,0.313333333,0.00617284
460,0.311851852,0.00617284
461,0.30962963,0.00617284
462,0.308148148,0.00617284
463,0.305925926,0.00617284
464,0.302962963,0.00617284
465,0.300740741,0.00617284
466,0.298518519,0.00617284
467,0.297037037,0.00617284
468,0.294074074,0.006944444
469,0.293333333,0.006944444
470,0.290740741,0.006944444
471,0.28962963,0.006944444
472,0.288148148,0.006944444
473,0.287037037,0.006944444
474,0.284814815,0.006944444
475,0.284074074,0.006944444
476,0.282592593,0.006944444
477,0.28037037,0.006944444
478,0.27962963,0.006944444
479,0.278518519,0.006944444
480,0.277407407,0.006944444
481,0.275925926,0.006944444
482,0.274444444,0.006944444
483,0.273333333,0.006944444
484,0.271481481,0.006944444
485,0.270740741,0.006944444
486,0.26962963,0.006944444
487,0.269259259,0.006944444
488,0.267777778,0.006944444
489,0.265555556,0.006944444
490,0.264444444,0.006944444
491,0.263333333,0.006944444
492,0.261111111,0.006944444
493,0.26,0.006944444
494,0.258518519,0.006944444
495,0.257037037,0.006944444
496,0.255185185,0.006944444
497,0.254074074,0.006944444
498,0.250740741,0.007716049
499,0.24962963,0.007716049
500,0.248888889,0.007716049
501,0.247777778,0.007716049
502,0.246296296,0.007716049
503,0.245185185,0.007716049
504,0.243333333,0.007716049
505,0.241851852,0.007716049
506,0.241111111,0.007716049
507,0.239259259,0.007716049
508,0.238888889,0.007716049
509,0.238148148,0.007716049
510,0.237407407,0.007716049
511,0.236296296,0.007716049
512,0.234074074,0.007716049
513,0.231481481,0.007716049
514,0.23,0.007716049
515,0.228888889,0.007716049
516,0.228148148,0.007716049
517,0.226296296,0.007716049
518,0.224444444,0.007716049
519,0.223333333,0.007716049
520,0.221481481,0.007716049
521,0.220740741,0.007716049
522,0.219259259,0.008487654
523,0.217407407,0.008487654
524,0.216666667,0.008487654
525,0.215185185,0.008487654
526,0.212962963,0.008487654
527,0.211111111,0.008487654
528,0.209259259,0.008487654
529,0.207407407,0.008487654
530,0.206296296,0.008487654
531,0.204074074,0.008487654
532,0.202592593,0.008487654
533,0.201481481,0.008487654
534,0.200740741,0.008487654
535,0.198888889,0.008487654
536,0.197407407,0.008487654
537,0.195555556,0.008487654
538,0.193703704,0.008487654
539,0.192592593,0.008487654
540,0.191111111,0.008487654
541,0.189259259,0.008487654
542,0.188148148,0.009259259
543,0.186296296,0.009259259
544,0.182962963,0.009259259
545,0.182592593,0.009259259
546,0.181851852,0.010030864
547,0.181111111,0.010030864
548,0.178888889,0.010030864
549,0.177407407,0.010802469
550,0.175925926,0.010802469
551,0.174444444,0.010802469
552,0.171851852,0.010802469
553,0.16962963,0.010802469
554,0.168148148,0.010802469
555,0.167407407,0.010802469
556,0.164814815,0.012345679
557,0.163703704,0.013117284
558,0.162222222,0.013117284
559,0.160740741,0.013117284
560,0.158888889,0.013117284
561,0.157037037,0.013117284
562,0.153703704,0.013117284
563,0.152592593,0.013117284
564,0.151111111,0.013117284
565,0.148888889,0.013117284
566,0.148888889,0.013117284
567,0.148148148,0.013117284
568,0.146666667,0.013117284
569,0.145925926,0.013117284
570,0.143703704,0.013888889
571,0.143333333,0.014660494
572,0.143333333,0.014660494
573,0.141851852,0.014660494
574,0.140740741,0.015432099
575,0.138888889,0.015432099
576,0.137037037,0.015432099
577,0.136666667,0.015432099
578,0.135555556,0.015432099
579,0.135185185,0.015432099
580,0.134074074,0.015432099
581,0.132222222,0.015432099
582,0.131111111,0.015432099
583,0.13037037,0.016203704
584,0.129259259,0.016203704
585,0.127777778,0.016975309
586,0.125925926,0.016975309
587,0.125185185,0.016975309
588,0.122222222,0.016975309
589,0.120740741,0.016975309
590,0.119259259,0.016975309
591,0.115555556,0.016975309
592,0.114814815,0.016975309
593,0.113703704,0.018518519
594,0.111111111,0.019290123
595,0.10962963,0.020061728
596,0.108518519,0.021604938
597,0.107037037,0.021604938
598,0.106296296,0.022376543
599,0.103703704,0.023919753
600,0.101851852,0.023919753
601,0.1,0.023919753
602,0.097037037,0.023919753
603,0.094814815,0.025462963
604,0.093703704,0.025462963
605,0.091481481,0.026234568
606,0.090740741,0.027006173
607,0.09,0.027777778
608,0.088518519,0.027777778
609,0.086666667,0.027777778
610,0.085185185,0.027777778
611,0.082592593,0.028549383
612,0.081111111,0.029320988
613,0.08,0.029320988
614,0.078518519,0.030864198
615,0.077777778,0.030864198
616,0.077037037,0.031635802
617,0.074814815,0.031635802
618,0.074444444,0.032407407
619,0.073703704,0.033950617
620,0.07037037,0.034722222
621,0.06962963,0.035493827
622,0.068518519,0.036265432
623,0.068148148,0.036265432
624,0.065185185,0.036265432
625,0.064074074,0.037037037
626,0.061851852,0.039351852
627,0.06037037,0.040123457
628,0.06037037,0.040123457
629,0.059259259,0.040123457
630,0.058148148,0.043209877
631,0.057407407,0.043981481
632,0.055925926,0.045524691
633,0.053703704,0.047067901
634,0.052592593,0.048611111
635,0.052222222,0.050154321
636,0.051481481,0.050154321
637,0.05,0.051697531
638,0.049259259,0.054012346
639,0.048148148,0.054012346
640,0.046296296,0.054783951
641,0.045925926,0.05632716
642,0.044814815,0.05632716
643,0.043333333,0.05787037
644,0.042592593,0.05941358
645,0.03962963,0.060185185
646,0.037777778,0.06095679
647,0.037777778,0.061728395
648,0.037777778,0.064814815
649,0.037407407,0.06558642
650,0.037407407,0.067901235
651,0.037037037,0.070216049
652,0.036296296,0.071759259
653,0.035555556,0.071759259
654,0.033703704,0.073302469
655,0.033333333,0.075617284
656,0.031481481,0.077932099
657,0.031481481,0.081018519
658,0.030740741,0.084876543
659,0.03,0.087962963
660,0.02962963,0.091820988
661,0.028518519,0.092592593
662,0.028148148,0.097222222
663,0.027037037,0.103395062
664,0.025555556,0.108024691
665,0.025185185,0.110339506
666,0.024814815,0.111882716
667,0.023703704,0.117283951
668,0.022962963,0.11882716
669,0.022222222,0.12037037
670,0.021481481,0.125771605
671,0.021481481,0.12808642
672,0.021481481,0.135030864
673,0.021111111,0.138888889
674,0.020740741,0.140432099
675,0.02037037,0.143518519
676,0.02,0.144290123
677,0.01962963,0.149691358
678,0.018888889,0.152006173
679,0.018148148,0.155092593
680,0.017407407,0.160493827
681,0.016666667,0.162808642
682,0.016296296,0.169753086
683,0.015925926,0.173611111
684,0.015185185,0.175925926
685,0.014814815,0.179012346
686,0.013703704,0.18441358
687,0.012592593,0.185185185
688,0.011851852,0.186728395
689,0.010740741,0.19212963
690,0.010740741,0.197530864
691,0.01,0.205246914
692,0.00962963,0.209876543
693,0.009259259,0.212962963
694,0.009259259,0.214506173
695,0.008518519,0.218364198
696,0.008148148,0.226851852
697,0.008148148,0.231481481
698,0.007777778,0.241512346
699,0.006296296,0.247685185
700,0.006296296,0.252314815
701,0.006296296,0.260802469
702,0.006296296,0.269290123
703,0.005555556,0.273148148
704,0.004444444,0.277777778
705,0.004074074,0.287808642
706,0.004074074,0.293209877
707,0.003703704,0.296296296
708,0.003703704,0.305555556
709,0.003703704,0.31404321
710,0.003703704,0.324845679
711,0.003703704,0.334104938
712,0.003333333,0.337191358
713,0.003333333,0.342592593
714,0.003333333,0.351851852
715,0.003333333,0.361111111
716,0.002962963,0.365740741
717,0.002592593,0.37345679
718,0.002592593,0.37962963
719,0.002592593,0.385802469
720,0.002592593,0.392746914
721,0.002222222,0.400462963
