Th,FAR,FRR
-3271,0.406045752,0.030998852
-3270,0.40577342,0.030998852
-3269,0.40577342,0.030998852
-3268,0.405501089,0.030998852
-3267,0.404956427,0.030998852
-3266,0.404956427,0.031572905
-3265,0.404956427,0.031572905
-3264,0.404956427,0.031572905
-3263,0.404684096,0.031572905
-3262,0.404684096,0.031572905
-3261,0.404411765,0.031572905
-3260,0.404411765,0.031572905
-3259,0.404411765,0.031572905
-3258,0.404411765,0.031572905
-3257,0.404411765,0.031572905
-3256,0.404411765,0.031572905
-3255,0.404411765,0.031572905
-3254,0.404411765,0.031572905
-3253,0.404139434,0.031572905
-3252,0.404139434,0.031572905
-3251,0.404139434,0.031572905
-3250,0.403867102,0.031572905
-3249,0.403867102,0.031572905
-3248,0.403594771,0.031572905
-3247,0.40332244,0.031572905
-3246,0.402777778,0.031572905
-3245,0.402777778,0.031572905
-3244,0.402777778,0.031572905
-3243,0.402777778,0.031572905
-3242,0.402777778,0.031572905
-3241,0.402505447,0.031572905
-3240,0.402233115,0.031572905
-3239,0.402233115,0.031572905
-3238,0.401960784,0.031572905
-3237,0.401960784,0.031572905
-3236,0.401960784,0.031572905
-3235,0.401688453,0.031572905
-3234,0.401416122,0.031572905
-3233,0.401416122,0.031572905
-3232,0.401143791,0.031572905
-3231,0.401143791,0.031572905
-3230,0.401143791,0.031572905
-3229,0.40087146,0.031572905
-3228,0.40087146,0.031572905
-3227,0.400599129,0.031572905
-3226,0.400599129,0.031572905
-3225,0.400599129,0.031572905
-3224,0.400326797,0.031572905
-3223,0.400326797,0.031572905
-3222,0.400054466,0.031572905
-3221,0.399509804,0.031572905
-3220,0.399237473,0.031572905
-3219,0.398965142,0.031572905
-3218,0.398420479,0.031572905
-3217,0.398420479,0.031572905
-3216,0.398420479,0.031572905
-3215,0.398420479,0.031572905
-3214,0.397875817,0.031572905
-3213,0.397331155,0.031572905
-3212,0.397331155,0.031572905
-3211,0.397058824,0.031572905
-3210,0.396514161,0.031572905
-3209,0.396514161,0.031572905
-3208,0.396514161,0.031572905
-3207,0.396514161,0.031572905
-3206,0.396514161,0.031572905
-3205,0.396514161,0.031572905
-3204,0.396514161,0.031572905
-3203,0.39624183,0.031572905
-3202,0.39624183,0.031572905
-3201,0.39624183,0.031572905
-3200,0.395424837,0.031572905
-3199,0.394880174,0.031572905
-3198,0.394335512,0.031572905
-3197,0.394335512,0.031572905
-3196,0.394335512,0.031572905
-3195,0.394335512,0.031572905
-3194,0.394063181,0.031572905
-3193,0.394063181,0.031572905
-3192,0.39379085,0.031572905
-3191,0.393518519,0.031572905
-3190,0.393518519,0.031572905
-3189,0.393246187,0.031572905
-3188,0.392701525,0.031572905
-3187,0.392429194,0.031572905
-3186,0.391884532,0.031572905
-3185,0.391884532,0.031572905
-3184,0.3916122,0.031572905
-3183,0.3916122,0.031572905
-3182,0.391339869,0.031572905
-3181,0.391339869,0.031572905
-3180,0.391339869,0.031572905
-3179,0.391339869,0.031572905
-3178,0.391339869,0.031572905
-3177,0.391339869,0.031572905
-3176,0.391339869,0.031572905
-3175,0.391339869,0.031572905
-3174,0.391339869,0.031572905
-3173,0.391339869,0.031572905
-3172,0.391339869,0.031572905
-3171,0.391067538,0.031572905
-3170,0.391067538,0.031572905
-3169,0.391067538,0.031572905
-3168,0.391067538,0.031572905
-3167,0.391067538,0.031572905
-3166,0.391067538,0.031572905
-3165,0.391067538,0.031572905
-3164,0.391067538,0.031572905
-3163,0.391067538,0.031572905
-3162,0.390795207,0.031572905
-3161,0.390250545,0.031572905
-3160,0.390250545,0.031572905
-3159,0.390250545,0.031572905
-3158,0.390250545,0.031572905
-3157,0.390250545,0.031572905
-3156,0.390250545,0.031572905
-3155,0.390250545,0.031572905
-3154,0.389978214,0.031572905
-3153,0.389705882,0.031572905
-3152,0.389433551,0.031572905
-3151,0.38916122,0.031572905
-3150,0.388616558,0.031572905
-3149,0.388616558,0.031572905
-3148,0.388344227,0.031572905
-3147,0.388344227,0.031572905
-3146,0.388071895,0.031572905
-3145,0.388071895,0.031572905
-3144,0.387254902,0.031572905
-3143,0.387254902,0.031572905
-3142,0.386982571,0.031572905
-3141,0.386982571,0.031572905
-3140,0.386982571,0.031572905
-3139,0.38671024,0.031572905
-3138,0.38671024,0.031572905
-3137,0.386437908,0.031572905
-3136,0.386437908,0.031572905
-3135,0.386437908,0.031572905
-3134,0.385893246,0.031572905
-3133,0.385620915,0.031572905
-3132,0.385348584,0.031572905
-3131,0.385348584,0.031572905
-3130,0.385348584,0.031572905
-3129,0.385348584,0.031572905
-3128,0.385348584,0.031572905
-3127,0.385348584,0.031572905
-3126,0.385076253,0.031572905
-3125,0.385076253,0.031572905
-3124,0.384803922,0.031572905
-3123,0.384803922,0.031572905
-3122,0.384803922,0.031572905
-3121,0.384803922,0.031572905
-3120,0.38453159,0.031572905
-3119,0.38453159,0.031572905
-3118,0.38453159,0.031572905
-3117,0.38453159,0.031572905
-3116,0.383986928,0.031572905
-3115,0.383714597,0.031572905
-3114,0.383714597,0.031572905
-3113,0.383169935,0.031572905
-3112,0.383169935,0.031572905
-3111,0.383169935,0.031572905
-3110,0.382897603,0.031572905
-3109,0.382625272,0.031572905
-3108,0.382625272,0.031572905
-3107,0.382625272,0.031572905
-3106,0.382625272,0.031572905
-3105,0.382352941,0.031572905
-3104,0.38208061,0.031572905
-3103,0.381808279,0.031572905
-3102,0.381808279,0.031572905
-3101,0.381808279,0.031572905
-3100,0.381808279,0.031572905
-3099,0.381808279,0.031572905
-3098,0.381808279,0.031572905
-3097,0.381535948,0.031572905
-3096,0.381535948,0.031572905
-3095,0.380718954,0.031572905
-3094,0.380718954,0.031572905
-3093,0.380718954,0.031572905
-3092,0.380446623,0.031572905
-3091,0.380446623,0.031572905
-3090,0.380446623,0.031572905
-3089,0.380174292,0.031572905
-3088,0.379901961,0.031572905
-3087,0.379901961,0.031572905
-3086,0.379357298,0.031572905
-3085,0.379357298,0.031572905
-3084,0.379357298,0.031572905
-3083,0.379357298,0.031572905
-3082,0.379084967,0.031572905
-3081,0.379084967,0.031572905
-3080,0.379084967,0.031572905
-3079,0.379084967,0.031572905
-3078,0.378812636,0.031572905
-3077,0.378812636,0.031572905
-3076,0.378540305,0.031572905
-3075,0.378540305,0.031572905
-3074,0.378540305,0.031572905
-3073,0.378267974,0.031572905
-3072,0.378267974,0.031572905
-3071,0.377723312,0.032146958
-3070,0.377178649,0.032146958
-3069,0.377178649,0.032146958
-3068,0.376906318,0.032146958
-3067,0.376906318,0.032146958
-3066,0.376633987,0.032146958
-3065,0.376361656,0.032146958
-3064,0.375816993,0.032146958
-3063,0.375816993,0.032146958
-3062,0.375816993,0.032146958
-3061,0.375816993,0.032146958
-3060,0.375816993,0.032146958
-3059,0.375272331,0.032146958
-3058,0.375,0.032146958
-3057,0.374727669,0.032146958
-3056,0.374727669,0.032146958
-3055,0.374727669,0.032146958
-3054,0.374727669,0.032146958
-3053,0.374455338,0.032146958
-3052,0.374455338,0.032146958
-3051,0.374455338,0.032146958
-3050,0.374183007,0.032146958
-3049,0.374183007,0.032146958
-3048,0.373910675,0.032146958
-3047,0.373638344,0.032146958
-3046,0.373366013,0.032146958
-3045,0.373366013,0.032146958
-3044,0.373093682,0.032146958
-3043,0.372821351,0.032146958
-3042,0.37254902,0.032146958
-3041,0.37254902,0.032146958
-3040,0.37254902,0.032146958
-3039,0.372004357,0.032146958
-3038,0.372004357,0.032146958
-3037,0.372004357,0.032146958
-3036,0.372004357,0.032146958
-3035,0.372004357,0.032146958
-3034,0.372004357,0.032146958
-3033,0.372004357,0.032146958
-3032,0.372004357,0.032146958
-3031,0.372004357,0.032146958
-3030,0.372004357,0.032146958
-3029,0.372004357,0.032146958
-3028,0.372004357,0.032146958
-3027,0.372004357,0.032146958
-3026,0.371732026,0.032146958
-3025,0.371732026,0.032146958
-3024,0.371459695,0.032146958
-3023,0.371459695,0.032146958
-3022,0.370915033,0.032146958
-3021,0.370915033,0.032146958
-3020,0.370098039,0.032146958
-3019,0.369553377,0.032146958
-3018,0.369553377,0.032146958
-3017,0.369553377,0.032146958
-3016,0.369281046,0.032146958
-3015,0.369281046,0.032146958
-3014,0.369008715,0.032146958
-3013,0.368736383,0.032146958
-3012,0.368464052,0.032146958
-3011,0.368191721,0.032146958
-3010,0.367647059,0.032146958
-3009,0.367647059,0.032146958
-3008,0.367374728,0.032146958
-3007,0.366830065,0.032146958
-3006,0.366830065,0.032146958
-3005,0.366830065,0.032146958
-3004,0.366557734,0.032146958
-3003,0.366285403,0.032146958
-3002,0.366285403,0.032146958
-3001,0.366285403,0.032146958
-3000,0.366285403,0.032146958
-2999,0.366013072,0.032146958
-2998,0.366013072,0.032146958
-2997,0.366013072,0.032146958
-2996,0.366013072,0.032146958
-2995,0.366013072,0.032146958
-2994,0.365740741,0.032146958
-2993,0.365740741,0.032146958
-2992,0.36546841,0.032146958
-2991,0.36546841,0.032146958
-2990,0.36546841,0.032146958
-2989,0.36546841,0.032146958
-2988,0.365196078,0.032146958
-2987,0.364923747,0.032146958
-2986,0.364923747,0.032146958
-2985,0.364923747,0.032146958
-2984,0.364651416,0.032146958
-2983,0.364651416,0.032146958
-2982,0.364651416,0.032146958
-2981,0.364379085,0.032146958
-2980,0.364106754,0.032146958
-2979,0.363562092,0.032146958
-2978,0.363562092,0.032146958
-2977,0.363562092,0.032146958
-2976,0.363017429,0.032146958
-2975,0.362745098,0.032146958
-2974,0.362472767,0.032146958
-2973,0.361383442,0.032146958
-2972,0.361111111,0.03272101
-2971,0.361111111,0.03272101
-2970,0.361111111,0.03272101
-2969,0.361111111,0.03272101
-2968,0.36083878,0.03272101
-2967,0.360566449,0.03272101
-2966,0.360294118,0.03272101
-2965,0.359749455,0.03272101
-2964,0.359477124,0.03272101
-2963,0.358932462,0.03272101
-2962,0.358660131,0.03272101
-2961,0.3583878,0.03272101
-2960,0.3583878,0.03272101
-2959,0.357843137,0.03272101
-2958,0.357843137,0.03272101
-2957,0.357570806,0.03272101
-2956,0.357026144,0.03272101
-2955,0.357026144,0.03272101
-2954,0.356753813,0.03272101
-2953,0.356753813,0.03272101
-2952,0.356481481,0.03272101
-2951,0.356481481,0.03272101
-2950,0.355936819,0.03272101
-2949,0.355936819,0.03272101
-2948,0.355936819,0.03272101
-2947,0.355936819,0.03272101
