Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7,Th8,FAR8,FRR8
10,0.400793651,0.095149254,13,0.408869396,0.097067745,17,0.402314815,0.092519685,20,0.409017713,0.09874477,16,0.409722222,0.109669811,18,0.413888889,0.097440945,22,0.408119658,0.128834356,48,0.410225443,0.092887029
11,0.371252205,0.101679104,14,0.394736842,0.09908999,18,0.392592593,0.093503937,21,0.395330113,0.09958159,17,0.398148148,0.109669811,19,0.399074074,0.103346457,23,0.388176638,0.136503067,49,0.409017713,0.092887029
12,0.350970018,0.103544776,15,0.384015595,0.104145602,19,0.383333333,0.093503937,22,0.380032206,0.10209205,18,0.388310185,0.110849057,20,0.389814815,0.107283465,24,0.375356125,0.144171779,50,0.406602254,0.093723849
13,0.329365079,0.116604478,16,0.375243665,0.104145602,20,0.369444444,0.094488189,23,0.369967794,0.105439331,19,0.377314815,0.114386792,21,0.380092593,0.111220472,25,0.36039886,0.148773006,51,0.403381643,0.094560669
14,0.30335097,0.124067164,17,0.365009747,0.108190091,21,0.360185185,0.097440945,24,0.361916264,0.107949791,20,0.369212963,0.117924528,22,0.366203704,0.11515748,26,0.345441595,0.151840491,52,0.402979066,0.094560669
15,0.283068783,0.128731343,18,0.357699805,0.110212336,22,0.350462963,0.102362205,25,0.34742351,0.114644351,21,0.364583333,0.119103774,23,0.352314815,0.121062992,27,0.325498575,0.162576687,53,0.398953301,0.094560669
16,0.251763668,0.142723881,19,0.351364522,0.11223458,23,0.337037037,0.107283465,26,0.334943639,0.117154812,22,0.35474537,0.119103774,24,0.339814815,0.126968504,28,0.310541311,0.170245399,54,0.394927536,0.09623431
17,0.232363316,0.162313433,20,0.335769981,0.113245703,24,0.322685185,0.107283465,27,0.318035427,0.123012552,23,0.347222222,0.122641509,25,0.332407407,0.128937008,29,0.289173789,0.182515337,55,0.393719807,0.09623431
18,0.207231041,0.183768657,21,0.32797271,0.115267947,25,0.309722222,0.11023622,28,0.307165862,0.128870293,24,0.342013889,0.126179245,26,0.319444444,0.13976378,30,0.268518519,0.197852761,56,0.390901771,0.09707113
19,0.184744268,0.205223881,22,0.321150097,0.119312437,26,0.3,0.114173228,29,0.289855072,0.136401674,25,0.325810185,0.135613208,27,0.301851852,0.144685039,31,0.252136752,0.208588957,57,0.387278583,0.09707113
20,0.16313933,0.226679104,23,0.309454191,0.122345804,27,0.287037037,0.121062992,30,0.276570048,0.155648536,26,0.313657407,0.137971698,28,0.285185185,0.156496063,32,0.237891738,0.22392638,58,0.384863124,0.09790795
21,0.138888889,0.255597015,24,0.298732943,0.127401416,28,0.278703704,0.125984252,31,0.265297907,0.164853556,27,0.303240741,0.143867925,29,0.274074074,0.166338583,33,0.222934473,0.234662577,59,0.37962963,0.09790795
22,0.116843034,0.292910448,25,0.289473684,0.131445905,29,0.267592593,0.12992126,32,0.246779388,0.173221757,28,0.286458333,0.14504717,30,0.257407407,0.184055118,34,0.209401709,0.251533742,60,0.376006441,0.09790795
23,0.098324515,0.325559701,26,0.278265107,0.13346815,30,0.255555556,0.137795276,33,0.235507246,0.187447699,29,0.271990741,0.150943396,31,0.236111111,0.197834646,35,0.188034188,0.268404908,61,0.373188406,0.09790795
24,0.076719577,0.379664179,27,0.269493177,0.134479272,31,0.241666667,0.143700787,34,0.217793881,0.19748954,30,0.259259259,0.16509434,32,0.222685185,0.206692913,36,0.175213675,0.280674847,62,0.370772947,0.09790795
25,0.05952381,0.425373134,28,0.25877193,0.140546006,32,0.227777778,0.152559055,35,0.201690821,0.210041841,31,0.24537037,0.173349057,33,0.205092593,0.222440945,37,0.163105413,0.320552147,63,0.367954911,0.09958159
,,,29,0.245614035,0.142568251,33,0.211111111,0.165354331,36,0.181964573,0.222594142,32,0.228587963,0.181603774,34,0.186574074,0.241141732,38,0.146723647,0.332822086,64,0.365942029,0.10041841
,,,30,0.23245614,0.14661274,34,0.2,0.174212598,37,0.172302738,0.241841004,33,0.215277778,0.188679245,35,0.172222222,0.257874016,39,0.134615385,0.357361963,65,0.363929147,0.10041841
,,,31,0.219298246,0.15065723,35,0.181944444,0.190944882,38,0.159017713,0.257740586,34,0.203125,0.202830189,36,0.159722222,0.274606299,40,0.113960114,0.380368098,66,0.360305958,0.10125523
,,,32,0.209064327,0.157735086,36,0.166203704,0.202755906,39,0.141304348,0.275313808,35,0.191550926,0.216981132,37,0.146759259,0.299212598,41,0.098290598,0.409509202,67,0.357487923,0.10125523
,,,33,0.196393762,0.170879676,37,0.15462963,0.209645669,40,0.128824477,0.29623431,36,0.183449074,0.231132075,38,0.130555556,0.317913386,,,,68,0.354267311,0.10125523
,,,34,0.184697856,0.182002022,38,0.14537037,0.227362205,41,0.116344605,0.319665272,37,0.171875,0.241745283,39,0.117592593,0.337598425,,,,69,0.351449275,0.10376569
,,,35,0.169590643,0.196157735,39,0.136111111,0.241141732,42,0.100644122,0.343933054,38,0.155092593,0.247641509,40,0.101851852,0.358267717,,,,70,0.349436393,0.10376569
,,,36,0.161306043,0.209302326,40,0.123148148,0.263779528,43,0.089774557,0.373221757,39,0.140046296,0.258254717,41,0.089814815,0.383858268,,,,71,0.345813205,0.10460251
,,,37,0.149610136,0.227502528,41,0.113888889,0.279527559,44,0.080515298,0.40251046,40,0.125,0.27004717,42,0.077777778,0.410433071,,,,72,0.340982287,0.10460251
,,,38,0.141812865,0.241658241,42,0.102777778,0.304133858,,,,41,0.116319444,0.29009434,,,,,,,73,0.336553945,0.10460251
,,,39,0.124756335,0.255813953,43,0.091666667,0.331692913,,,,42,0.101273148,0.304245283,,,,,,,74,0.333333333,0.10460251
,,,40,0.114522417,0.270980789,44,0.07962963,0.355314961,,,,43,0.08912037,0.330188679,,,,,,,75,0.329307568,0.10460251
,,,41,0.10331384,0.295247725,45,0.069444444,0.381889764,,,,44,0.076388889,0.363207547,,,,,,,76,0.326489533,0.105439331
,,,42,0.093567251,0.319514661,46,0.05787037,0.406496063,,,,45,0.068287037,0.387971698,,,,,,,77,0.322866345,0.106276151
,,,43,0.080896686,0.341759353,,,,,,,46,0.056134259,0.404481132,,,,,,,78,0.318035427,0.107112971
,,,44,0.074561404,0.365015167,,,,,,,,,,,,,,,,79,0.316425121,0.107949791
,,,45,0.063352827,0.386248736,,,,,,,,,,,,,,,,80,0.312399356,0.108786611
,,,46,0.053118908,0.415571284,,,,,,,,,,,,,,,,81,0.307165862,0.109623431
,,,,,,,,,,,,,,,,,,,,,82,0.30394525,0.111297071
,,,,,,,,,,,,,,,,,,,,,83,0.301932367,0.112133891
,,,,,,,,,,,,,,,,,,,,,84,0.299114332,0.113807531
,,,,,,,,,,,,,,,,,,,,,85,0.297101449,0.114644351
,,,,,,,,,,,,,,,,,,,,,86,0.293075684,0.114644351
,,,,,,,,,,,,,,,,,,,,,87,0.290257649,0.117154812
,,,,,,,,,,,,,,,,,,,,,88,0.284621578,0.119665272
,,,,,,,,,,,,,,,,,,,,,89,0.281400966,0.121338912
,,,,,,,,,,,,,,,,,,,,,90,0.276972625,0.122175732
,,,,,,,,,,,,,,,,,,,,,91,0.27294686,0.123849372
,,,,,,,,,,,,,,,,,,,,,92,0.269323671,0.124686192
,,,,,,,,,,,,,,,,,,,,,93,0.26610306,0.125523013
,,,,,,,,,,,,,,,,,,,,,94,0.263285024,0.125523013
,,,,,,,,,,,,,,,,,,,,,95,0.260869565,0.127196653
,,,,,,,,,,,,,,,,,,,,,96,0.256441224,0.127196653
,,,,,,,,,,,,,,,,,,,,,97,0.252415459,0.128033473
,,,,,,,,,,,,,,,,,,,,,98,0.249597424,0.129707113
,,,,,,,,,,,,,,,,,,,,,99,0.244766506,0.131380753
,,,,,,,,,,,,,,,,,,,,,100,0.239533011,0.133891213
,,,,,,,,,,,,,,,,,,,,,101,0.23510467,0.135564854
,,,,,,,,,,,,,,,,,,,,,102,0.233091787,0.137238494
,,,,,,,,,,,,,,,,,,,,,103,0.22826087,0.138912134
,,,,,,,,,,,,,,,,,,,,,104,0.224637681,0.140585774
,,,,,,,,,,,,,,,,,,,,,105,0.221014493,0.142259414
,,,,,,,,,,,,,,,,,,,,,106,0.218599034,0.145606695
,,,,,,,,,,,,,,,,,,,,,107,0.216183575,0.146443515
,,,,,,,,,,,,,,,,,,,,,108,0.21215781,0.149790795
,,,,,,,,,,,,,,,,,,,,,109,0.205716586,0.153974895
,,,,,,,,,,,,,,,,,,,,,110,0.203703704,0.155648536
,,,,,,,,,,,,,,,,,,,,,111,0.201690821,0.159832636
,,,,,,,,,,,,,,,,,,,,,112,0.199275362,0.160669456
,,,,,,,,,,,,,,,,,,,,,113,0.194041868,0.164853556
,,,,,,,,,,,,,,,,,,,,,114,0.190821256,0.166527197
,,,,,,,,,,,,,,,,,,,,,115,0.18921095,0.173221757
,,,,,,,,,,,,,,,,,,,,,116,0.184782609,0.177405858
,,,,,,,,,,,,,,,,,,,,,117,0.179951691,0.182426778
,,,,,,,,,,,,,,,,,,,,,118,0.175925926,0.184937238
,,,,,,,,,,,,,,,,,,,,,119,0.171095008,0.188284519
,,,,,,,,,,,,,,,,,,,,,120,0.168276973,0.192468619
,,,,,,,,,,,,,,,,,,,,,121,0.165861514,0.19748954
,,,,,,,,,,,,,,,,,,,,,122,0.162238325,0.2
