Th,FAR,FRR
-1438,0.400055928,0.014285714
-1437,0.399888143,0.014285714
-1436,0.39966443,0.014285714
-1435,0.399217002,0.014285714
-1434,0.399161074,0.014285714
-1433,0.398881432,0.014285714
-1432,0.398769575,0.014285714
-1431,0.39860179,0.014285714
-1430,0.398489933,0.014285714
-1429,0.398210291,0.014285714
-1428,0.398210291,0.014285714
-1427,0.398042506,0.014285714
-1426,0.397706935,0.014285714
-1425,0.39753915,0.016666667
-1424,0.397483221,0.016666667
-1423,0.397259508,0.016666667
-1422,0.397091723,0.016666667
-1421,0.396868009,0.016666667
-1420,0.396756152,0.016666667
-1419,0.396644295,0.016666667
-1418,0.396364653,0.016666667
-1417,0.396029083,0.016666667
-1416,0.395917226,0.016666667
-1415,0.395581655,0.016666667
-1414,0.395469799,0.016666667
-1413,0.395357942,0.016666667
-1412,0.395357942,0.016666667
-1411,0.395134228,0.016666667
-1410,0.394798658,0.016666667
-1409,0.394519016,0.016666667
-1408,0.394463087,0.016666667
-1407,0.394183445,0.016666667
-1406,0.393847875,0.016666667
-1405,0.393736018,0.016666667
-1404,0.393512304,0.016666667
-1403,0.393400447,0.016666667
-1402,0.392841163,0.016666667
-1401,0.392673378,0.016666667
-1400,0.39261745,0.016666667
-1399,0.392561521,0.016666667
-1398,0.392393736,0.016666667
-1397,0.392114094,0.016666667
-1396,0.391666667,0.016666667
-1395,0.391610738,0.016666667
-1394,0.391219239,0.016666667
-1393,0.39082774,0.016666667
-1392,0.39049217,0.016666667
-1391,0.390436242,0.016666667
-1390,0.3901566,0.016666667
-1389,0.389932886,0.016666667
-1388,0.389821029,0.016666667
-1387,0.389597315,0.016666667
-1386,0.389317673,0.016666667
-1385,0.389038031,0.016666667
-1384,0.388926174,0.016666667
-1383,0.388758389,0.016666667
-1382,0.388478747,0.016666667
-1381,0.388143177,0.016666667
-1380,0.388143177,0.016666667
-1379,0.387807606,0.016666667
-1378,0.387527964,0.016666667
-1377,0.387360179,0.016666667
-1376,0.386912752,0.016666667
-1375,0.386800895,0.016666667
-1374,0.386577181,0.016666667
-1373,0.386465324,0.016666667
-1372,0.386297539,0.016666667
-1371,0.386129754,0.016666667
-1370,0.386017897,0.016666667
-1369,0.385850112,0.016666667
-1368,0.385346756,0.016666667
-1367,0.385178971,0.016666667
-1366,0.385123043,0.016666667
-1365,0.385067114,0.016666667
-1364,0.3848434,0.016666667
-1363,0.384619687,0.016666667
-1362,0.384340045,0.016666667
-1361,0.384228188,0.019047619
-1360,0.384060403,0.019047619
-1359,0.383724832,0.019047619
-1358,0.383333333,0.019047619
-1357,0.383165548,0.019047619
-1356,0.383053691,0.019047619
-1355,0.382829978,0.019047619
-1354,0.382438479,0.019047619
-1353,0.382214765,0.019047619
-1352,0.381935123,0.019047619
-1351,0.381655481,0.019047619
-1350,0.381487696,0.019047619
-1349,0.381152125,0.019047619
-1348,0.380928412,0.019047619
-1347,0.380816555,0.019047619
-1346,0.380480984,0.019047619
-1345,0.380313199,0.019047619
-1344,0.380313199,0.019047619
-1343,0.380201342,0.019047619
-1342,0.379865772,0.019047619
-1341,0.379642058,0.019047619
-1340,0.379418345,0.019047619
-1339,0.379306488,0.019047619
-1338,0.379138702,0.019047619
-1337,0.379138702,0.019047619
-1336,0.379082774,0.019047619
-1335,0.379026846,0.019047619
-1334,0.378691275,0.019047619
-1333,0.378579418,0.019047619
-1332,0.378355705,0.019047619
-1331,0.378243848,0.019047619
-1330,0.378076063,0.019047619
-1329,0.377852349,0.019047619
-1328,0.377740492,0.019047619
-1327,0.377572707,0.019047619
-1326,0.377516779,0.019047619
-1325,0.377237136,0.019047619
-1324,0.376957494,0.019047619
-1323,0.376789709,0.019047619
-1322,0.376342282,0.019047619
-1321,0.375950783,0.019047619
-1320,0.375782998,0.019047619
-1319,0.375391499,0.019047619
-1318,0.375279642,0.019047619
-1317,0.374944072,0.019047619
-1316,0.374720358,0.019047619
-1315,0.374608501,0.019047619
-1314,0.374328859,0.019047619
-1313,0.374105145,0.019047619
-1312,0.373769575,0.019047619
-1311,0.373545861,0.019047619
-1310,0.373266219,0.019047619
-1309,0.373042506,0.019047619
-1308,0.37287472,0.019047619
-1307,0.37253915,0.019047619
-1306,0.372427293,0.019047619
-1305,0.372203579,0.019047619
-1304,0.372091723,0.019047619
-1303,0.371812081,0.019047619
-1302,0.371644295,0.019047619
-1301,0.371364653,0.019047619
-1300,0.371196868,0.019047619
-1299,0.370917226,0.019047619
-1298,0.370805369,0.019047619
-1297,0.370693512,0.019047619
-1296,0.370302013,0.019047619
-1295,0.370022371,0.019047619
-1294,0.369686801,0.019047619
-1293,0.369407159,0.019047619
-1292,0.369183445,0.019047619
-1291,0.368847875,0.019047619
-1290,0.368680089,0.019047619
-1289,0.368344519,0.019047619
-1288,0.368232662,0.019047619
-1287,0.367841163,0.019047619
-1286,0.36761745,0.019047619
-1285,0.367449664,0.019047619
-1284,0.367225951,0.019047619
-1283,0.367225951,0.019047619
-1282,0.367058166,0.019047619
-1281,0.36689038,0.021428571
-1280,0.366778523,0.021428571
-1279,0.366666667,0.021428571
-1278,0.366498881,0.021428571
-1277,0.366442953,0.021428571
-1276,0.366163311,0.021428571
-1275,0.365604027,0.021428571
-1274,0.365212528,0.021428571
-1273,0.364932886,0.021428571
-1272,0.364821029,0.021428571
-1271,0.364541387,0.021428571
-1270,0.36409396,0.021428571
-1269,0.363702461,0.021428571
-1268,0.363646532,0.021428571
-1267,0.363478747,0.021428571
-1266,0.363199105,0.021428571
-1265,0.363199105,0.021428571
-1264,0.36303132,0.021428571
-1263,0.362807606,0.021428571
-1262,0.362583893,0.021428571
-1261,0.362527964,0.021428571
-1260,0.362304251,0.021428571
-1259,0.362192394,0.021428571
-1258,0.362080537,0.021428571
-1257,0.361689038,0.021428571
-1256,0.361465324,0.021428571
-1255,0.361241611,0.021428571
-1254,0.360794183,0.021428571
-1253,0.360458613,0.021428571
-1252,0.360346756,0.021428571
-1251,0.360011186,0.021428571
-1250,0.359451902,0.021428571
-1249,0.359395973,0.021428571
-1248,0.359228188,0.021428571
-1247,0.358948546,0.021428571
-1246,0.358836689,0.021428571
-1245,0.358612975,0.021428571
-1244,0.358389262,0.021428571
-1243,0.35810962,0.021428571
-1242,0.357718121,0.021428571
-1241,0.357606264,0.021428571
-1240,0.357494407,0.021428571
-1239,0.357158837,0.021428571
-1238,0.356935123,0.021428571
-1237,0.356487696,0.021428571
-1236,0.356208054,0.021428571
-1235,0.355872483,0.021428571
-1234,0.355760626,0.021428571
-1233,0.355536913,0.021428571
-1232,0.355089485,0.021428571
-1231,0.354697987,0.021428571
-1230,0.354530201,0.021428571
-1229,0.354306488,0.021428571
-1228,0.354138702,0.021428571
-1227,0.353970917,0.021428571
-1226,0.353691275,0.021428571
-1225,0.353579418,0.021428571
-1224,0.353355705,0.021428571
-1223,0.353020134,0.021428571
-1222,0.352964206,0.021428571
-1221,0.352796421,0.021428571
-1220,0.352684564,0.021428571
-1219,0.352628635,0.021428571
-1218,0.35212528,0.021428571
-1217,0.352069351,0.021428571
-1216,0.351845638,0.021428571
-1215,0.351733781,0.021428571
-1214,0.351565996,0.021428571
-1213,0.351286353,0.021428571
-1212,0.351118568,0.021428571
-1211,0.350782998,0.021428571
-1210,0.350559284,0.021428571
-1209,0.350055928,0.021428571
-1208,0.349832215,0.021428571
-1207,0.349384787,0.021428571
-1206,0.349217002,0.021428571
-1205,0.348881432,0.021428571
-1204,0.348657718,0.021428571
-1203,0.348210291,0.021428571
-1202,0.347818792,0.021428571
-1201,0.347651007,0.021428571
-1200,0.347315436,0.021428571
-1199,0.347259508,0.021428571
-1198,0.347147651,0.021428571
-1197,0.346979866,0.021428571
-1196,0.346644295,0.021428571
-1195,0.346532438,0.021428571
-1194,0.346364653,0.021428571
-1193,0.346252796,0.021428571
-1192,0.34614094,0.021428571
-1191,0.346085011,0.021428571
-1190,0.345973154,0.021428571
-1189,0.345917226,0.021428571
-1188,0.345637584,0.021428571
-1187,0.34541387,0.021428571
-1186,0.345246085,0.021428571
-1185,0.344742729,0.021428571
-1184,0.344519016,0.021428571
-1183,0.34435123,0.021428571
-1182,0.344127517,0.021428571
-1181,0.343791946,0.023809524
-1180,0.343568233,0.023809524
-1179,0.343120805,0.023809524
-1178,0.343008949,0.023809524
-1177,0.342841163,0.023809524
-1176,0.342505593,0.023809524
-1175,0.342225951,0.023809524
-1174,0.342002237,0.023809524
-1173,0.341722595,0.023809524
-1172,0.34155481,0.023809524
-1171,0.341163311,0.023809524
-1170,0.340883669,0.023809524
-1169,0.340604027,0.023809524
-1168,0.340380313,0.023809524
-1167,0.340212528,0.026190476
-1166,0.339988814,0.026190476
-1165,0.339876957,0.026190476
-1164,0.339541387,0.026190476
-1163,0.33942953,0.026190476
-1162,0.339149888,0.026190476
-1161,0.338814318,0.026190476
-1160,0.338646532,0.026190476
-1159,0.338534676,0.026190476
-1158,0.338255034,0.026190476
-1157,0.337975391,0.026190476
-1156,0.337583893,0.026190476
-1155,0.337416107,0.026190476
-1154,0.337248322,0.026190476
-1153,0.336689038,0.026190476
-1152,0.336353468,0.026190476
-1151,0.336241611,0.026190476
-1150,0.336185682,0.026190476
-1149,0.335850112,0.026190476
-1148,0.335682327,0.026190476
-1147,0.335514541,0.026190476
-1146,0.335178971,0.026190476
-1145,0.334955257,0.026190476
-1144,0.334731544,0.026190476
-1143,0.334228188,0.026190476
-1142,0.333836689,0.026190476
-1141,0.333501119,0.026190476
-1140,0.333277405,0.028571429
-1139,0.332997763,0.028571429
-1138,0.332662192,0.028571429
-1137,0.332550336,0.028571429
-1136,0.332326622,0.028571429
-1135,0.331991051,0.028571429
-1134,0.331823266,0.028571429
-1133,0.331431767,0.028571429
-1132,0.33098434,0.028571429
-1131,0.330816555,0.028571429
-1130,0.330760626,0.028571429
-1129,0.330704698,0.028571429
-1128,0.330369128,0.028571429
-1127,0.330201342,0.028571429
-1126,0.329977629,0.028571429
-1125,0.329753915,0.028571429
-1124,0.329474273,0.028571429
-1123,0.329362416,0.028571429
-1122,0.329306488,0.028571429
-1121,0.329138702,0.028571429
-1120,0.328747204,0.028571429
-1119,0.328635347,0.028571429
-1118,0.328243848,0.028571429
-1117,0.328131991,0.028571429
-1116,0.327964206,0.028571429
-1115,0.327740492,0.028571429
-1114,0.327572707,0.028571429
-1113,0.327404922,0.028571429
-1112,0.327181208,0.028571429
-1111,0.326845638,0.028571429
-1110,0.326733781,0.028571429
-1109,0.326230425,0.028571429
-1108,0.326006711,0.028571429
-1107,0.325671141,0.028571429
-1106,0.325503356,0.028571429
-1105,0.325391499,0.028571429
-1104,0.325167785,0.028571429
-1103,0.325055928,0.028571429
-1102,0.324944072,0.028571429
-1101,0.324776286,0.028571429
-1100,0.324440716,0.028571429
-1099,0.324272931,0.028571429
-1098,0.324049217,0.028571429
-1097,0.323881432,0.028571429
-1096,0.323713647,0.028571429
-1095,0.323322148,0.028571429
-1094,0.323266219,0.028571429
-1093,0.322818792,0.028571429
-1092,0.322427293,0.028571429
-1091,0.322203579,0.028571429
-1090,0.321979866,0.028571429
-1089,0.321812081,0.028571429
-1088,0.321700224,0.028571429
-1087,0.32147651,0.028571429
-1086,0.321308725,0.028571429
-1085,0.321085011,0.028571429
-1084,0.320693512,0.028571429
-1083,0.320469799,0.028571429
-1082,0.320246085,0.028571429
-1081,0.320022371,0.028571429
-1080,0.319742729,0.028571429
-1079,0.31935123,0.028571429
-1078,0.319239374,0.028571429
-1077,0.318736018,0.028571429
-1076,0.318568233,0.028571429
-1075,0.318400447,0.028571429
-1074,0.318120805,0.028571429
-1073,0.317673378,0.028571429
-1072,0.317393736,0.028571429
-1071,0.317337808,0.028571429
-1070,0.317170022,0.028571429
-1069,0.31689038,0.028571429
-1068,0.316666667,0.028571429
-1067,0.316331096,0.028571429
-1066,0.316107383,0.028571429
-1065,0.315939597,0.028571429
-1064,0.315604027,0.028571429
-1063,0.315212528,0.028571429
-1062,0.315044743,0.028571429
-1061,0.314876957,0.028571429
-1060,0.314709172,0.028571429
-1059,0.314317673,0.028571429
-1058,0.314038031,0.028571429
-1057,0.313870246,0.028571429
-1056,0.313702461,0.028571429
-1055,0.313590604,0.028571429
-1054,0.313255034,0.028571429
-1053,0.312863535,0.028571429
-1052,0.312360179,0.028571429
-1051,0.312248322,0.028571429
-1050,0.31196868,0.028571429
-1049,0.311744966,0.028571429
-1048,0.311241611,0.028571429
-1047,0.311129754,0.028571429
-1046,0.310961969,0.028571429
-1045,0.310794183,0.030952381
-1044,0.310682327,0.030952381
-1043,0.310514541,0.030952381
-1042,0.310123043,0.030952381
-1041,0.309955257,0.030952381
-1040,0.309619687,0.030952381
-1039,0.309451902,0.030952381
-1038,0.309340045,0.030952381
-1037,0.309004474,0.030952381
-1036,0.308836689,0.030952381
-1035,0.308389262,0.030952381
-1034,0.308165548,0.030952381
-1033,0.307997763,0.030952381
-1032,0.307941834,0.030952381
-1031,0.307885906,0.033333333
-1030,0.307606264,0.033333333
-1029,0.307326622,0.033333333
-1028,0.307102908,0.033333333
-1027,0.306879195,0.033333333
-1026,0.306543624,0.033333333
-1025,0.306375839,0.033333333
-1024,0.306375839,0.033333333
-1023,0.305928412,0.033333333
-1022,0.305425056,0.033333333
-1021,0.305201342,0.033333333
-1020,0.3049217,0.033333333
-1019,0.304474273,0.033333333
-1018,0.304138702,0.033333333
-1017,0.303914989,0.033333333
-1016,0.303579418,0.033333333
-1015,0.303355705,0.033333333
-1014,0.303076063,0.033333333
-1013,0.302796421,0.033333333
-1012,0.302740492,0.033333333
-1011,0.302572707,0.033333333
-1010,0.302293065,0.033333333
-1009,0.302069351,0.033333333
-1008,0.301957494,0.033333333
-1007,0.301845638,0.033333333
