Th,FAR,FRR
-2500,0.808908706,0.029354207
-2499,0.808770801,0.029354207
-2498,0.808770801,0.029354207
-2497,0.808770801,0.029354207
-2496,0.808632895,0.029354207
-2495,0.808586927,0.029354207
-2494,0.808586927,0.029354207
-2493,0.808403052,0.029354207
-2492,0.808403052,0.029354207
-2491,0.808357084,0.029354207
-2490,0.808311115,0.029354207
-2489,0.808219178,0.029354207
-2488,0.808219178,0.029354207
-2487,0.80817321,0.029354207
-2486,0.807989335,0.029354207
-2485,0.807943367,0.029354207
-2484,0.807759493,0.029354207
-2483,0.807621587,0.029354207
-2482,0.807483681,0.029354207
-2481,0.807483681,0.029354207
-2480,0.807345775,0.029354207
-2479,0.807299807,0.029354207
-2478,0.80720787,0.029354207
-2477,0.807161901,0.029354207
-2476,0.806978027,0.029354207
-2475,0.806932058,0.029354207
-2474,0.806840121,0.029354207
-2473,0.806748184,0.029354207
-2472,0.806748184,0.029354207
-2471,0.806656247,0.029354207
-2470,0.80656431,0.029354207
-2469,0.806518341,0.029354207
-2468,0.806426404,0.029354207
-2467,0.806380436,0.029354207
-2466,0.806380436,0.029354207
-2465,0.806334467,0.029354207
-2464,0.80624253,0.029354207
-2463,0.806104624,0.029354207
-2462,0.805966719,0.029354207
-2461,0.805966719,0.029354207
-2460,0.805736876,0.029354207
-2459,0.805644939,0.029354207
-2458,0.80559897,0.029354207
-2457,0.805461065,0.029354207
-2456,0.805323159,0.029354207
-2455,0.80527719,0.029354207
-2454,0.80527719,0.029354207
-2453,0.80527719,0.029354207
-2452,0.80527719,0.029354207
-2451,0.805139285,0.029354207
-2450,0.805139285,0.029354207
-2449,0.805093316,0.029354207
-2448,0.805001379,0.029354207
-2447,0.804863473,0.029354207
-2446,0.804725568,0.029354207
-2445,0.804587662,0.029354207
-2444,0.804449756,0.029354207
-2443,0.804403788,0.029354207
-2442,0.804357819,0.029354207
-2441,0.804311851,0.029354207
-2440,0.804127976,0.029354207
-2439,0.803990071,0.029354207
-2438,0.803852165,0.029354207
-2437,0.803806197,0.029354207
-2436,0.803668291,0.029354207
-2435,0.80339248,0.029354207
-2434,0.803208605,0.029354207
-2433,0.803208605,0.029354207
-2432,0.803208605,0.029354207
-2431,0.803162637,0.029354207
-2430,0.8030707,0.029354207
-2429,0.802886825,0.029354207
-2428,0.802840857,0.029354207
-2427,0.802702951,0.029354207
-2426,0.802565046,0.029354207
-2425,0.802473108,0.029354207
-2424,0.80242714,0.029354207
-2423,0.802381171,0.029354207
-2422,0.802289234,0.029354207
-2421,0.802197297,0.029354207
-2420,0.802151328,0.029354207
-2419,0.802059391,0.029354207
-2418,0.801967454,0.029354207
-2417,0.801875517,0.029354207
-2416,0.801875517,0.029354207
-2415,0.801829549,0.029354207
-2414,0.801691643,0.029354207
-2413,0.801507769,0.029354207
-2412,0.801323894,0.029354207
-2411,0.801277926,0.029354207
-2410,0.801048083,0.029354207
-2409,0.801048083,0.029354207
-2408,0.801002115,0.029354207
-2407,0.801002115,0.029354207
-2406,0.800910177,0.029354207
-2405,0.800772272,0.029354207
-2404,0.800680335,0.029354207
-2403,0.800588398,0.029354207
-2402,0.800450492,0.029354207
-2401,0.800404523,0.029354207
-2400,0.800358555,0.029354207
-2399,0.800312586,0.029354207
-2398,0.800266618,0.029354207
-2397,0.800174681,0.029354207
-2396,0.800128712,0.029354207
-2395,0.799944838,0.029354207
-2394,0.799898869,0.029354207
-2393,0.799852901,0.029354207
-2392,0.799852901,0.029354207
-2391,0.799806932,0.029354207
-2390,0.799760964,0.029354207
-2389,0.799714995,0.029354207
-2388,0.799577089,0.029354207
-2387,0.799439184,0.029354207
-2386,0.799439184,0.029354207
-2385,0.799439184,0.029354207
-2384,0.799439184,0.029354207
-2383,0.799255309,0.029354207
-2382,0.799117404,0.029354207
-2381,0.799071435,0.029354207
-2380,0.798887561,0.029354207
-2379,0.798841592,0.029354207
-2378,0.798657718,0.029354207
-2377,0.798335938,0.029354207
-2376,0.798198033,0.029354207
-2375,0.79796819,0.029354207
-2374,0.797922221,0.029354207
-2373,0.797876253,0.029354207
-2372,0.797830284,0.029354207
-2371,0.797784316,0.029354207
-2370,0.797692378,0.029354207
-2369,0.79764641,0.029354207
-2368,0.797600441,0.029354207
-2367,0.797554473,0.029354207
-2366,0.797462536,0.029354207
-2365,0.797232693,0.029354207
-2364,0.797048819,0.029354207
-2363,0.796956881,0.029354207
-2362,0.796910913,0.029354207
-2361,0.796773007,0.029354207
-2360,0.796635102,0.029354207
-2359,0.796543164,0.029354207
-2358,0.796405259,0.029354207
-2357,0.796405259,0.029354207
-2356,0.79635929,0.029354207
-2355,0.796313322,0.029354207
-2354,0.796313322,0.029354207
-2353,0.796313322,0.029354207
-2352,0.796129447,0.029354207
-2351,0.795991542,0.029354207
-2350,0.795899605,0.029354207
-2349,0.795807668,0.029354207
-2348,0.795807668,0.029354207
-2347,0.79571573,0.029354207
-2346,0.79571573,0.029354207
-2345,0.79571573,0.029354207
-2344,0.795623793,0.029354207
-2343,0.795577825,0.029354207
-2342,0.795485888,0.029354207
-2341,0.795347982,0.029354207
-2340,0.795302013,0.029354207
-2339,0.795256045,0.029354207
-2338,0.795072171,0.029354207
-2337,0.795026202,0.029354207
-2336,0.794934265,0.029354207
-2335,0.794934265,0.029354207
-2334,0.794888296,0.029354207
-2333,0.794888296,0.029354207
-2332,0.794796359,0.029354207
-2331,0.794750391,0.029354207
-2330,0.794704422,0.029354207
-2329,0.794704422,0.029354207
-2328,0.794474579,0.029354207
-2327,0.794428611,0.029354207
-2326,0.794336674,0.029354207
-2325,0.794290705,0.029354207
-2324,0.794290705,0.029354207
-2323,0.794198768,0.029354207
-2322,0.794106831,0.029354207
-2321,0.793968925,0.029354207
-2320,0.793922957,0.029354207
-2319,0.793922957,0.029354207
-2318,0.793785051,0.029354207
-2317,0.793785051,0.029354207
-2316,0.793785051,0.029354207
-2315,0.793739082,0.029354207
-2314,0.793647145,0.029354207
-2313,0.79350924,0.029354207
-2312,0.793463271,0.029354207
-2311,0.793463271,0.029354207
-2310,0.793279397,0.029354207
-2309,0.793233428,0.029354207
-2308,0.79318746,0.029354207
-2307,0.793003586,0.029354207
-2306,0.792957617,0.029354207
-2305,0.79286568,0.029354207
-2304,0.792681806,0.029354207
-2303,0.792635837,0.029354207
-2302,0.792589869,0.029354207
-2301,0.792589869,0.029354207
-2300,0.792497931,0.029354207
-2299,0.792314057,0.029354207
-2298,0.792268089,0.029354207
-2297,0.792176152,0.029354207
-2296,0.792130183,0.029354207
-2295,0.791946309,0.029354207
-2294,0.791716466,0.029354207
-2293,0.791624529,0.029354207
-2292,0.791532592,0.029354207
-2291,0.791440655,0.029354207
-2290,0.791118875,0.031311155
-2289,0.790980969,0.031311155
-2288,0.790797095,0.031311155
-2287,0.790751126,0.031311155
-2286,0.790659189,0.031311155
-2285,0.790659189,0.031311155
-2284,0.790567252,0.031311155
-2283,0.790475315,0.031311155
-2282,0.790383378,0.031311155
-2281,0.790383378,0.031311155
-2280,0.790337409,0.031311155
-2279,0.790245472,0.031311155
-2278,0.790245472,0.031311155
-2277,0.790199504,0.031311155
-2276,0.790015629,0.031311155
-2275,0.789831755,0.031311155
-2274,0.789739818,0.031311155
-2273,0.789739818,0.031311155
-2272,0.789693849,0.031311155
-2271,0.789601912,0.031311155
-2270,0.789601912,0.031311155
-2269,0.789555944,0.031311155
-2268,0.789280132,0.031311155
-2267,0.789096258,0.031311155
-2266,0.789004321,0.031311155
-2265,0.788820447,0.031311155
-2264,0.788820447,0.031311155
-2263,0.788682541,0.031311155
-2262,0.788498667,0.031311155
-2261,0.788452698,0.031311155
-2260,0.788360761,0.031311155
