Th1,FAR1,FRR1,Th2,FAR2,FRR2,Th3,FAR3,FRR3,Th4,FAR4,FRR4,Th5,FAR5,FRR5,Th6,FAR6,FRR6,Th7,FAR7,FRR7
10,0.407374464,0.187607573,-165,0.405786048,0.170995671,-68,0.401472782,0.19047619,-85,0.400374793,0.12987013,-39,0.404269202,0.186507937,14,0.407686463,0.157681941,-398,0.40048351,0.135176651
11,0.401269508,0.192771084,-164,0.404514948,0.173160173,-67,0.397930649,0.192460317,-84,0.397672797,0.131725417,-38,0.396951902,0.188492063,15,0.402747879,0.167115903,-397,0.399942267,0.135176651
12,0.395851864,0.194492255,-163,0.402786252,0.173160173,-66,0.393502983,0.194444444,-83,0.393924867,0.13729128,-37,0.38856264,0.19047619,16,0.396827909,0.179245283,-396,0.399256693,0.135176651
13,0.390878952,0.197934596,-162,0.401159243,0.173160173,-65,0.388469426,0.200396825,-82,0.390830646,0.141001855,-36,0.379614094,0.198412698,17,0.392269216,0.180592992,-395,0.398535036,0.135176651
14,0.38586561,0.201376936,-161,0.399430547,0.173160173,-64,0.383995153,0.206349206,-81,0.387823586,0.141001855,-35,0.369780015,0.200396825,18,0.387393947,0.184636119,-394,0.398065959,0.135176651
15,0.381984313,0.208261618,-160,0.397701851,0.173160173,-63,0.379148024,0.206349206,-80,0.384337139,0.142857143,-34,0.360085757,0.202380952,19,0.382297075,0.192722372,-393,0.397272137,0.135176651
16,0.377213552,0.209982788,-159,0.395718934,0.175324675,-62,0.374440716,0.21031746,-79,0.381635143,0.142857143,-33,0.350251678,0.202380952,20,0.377421806,0.194070081,-392,0.396730894,0.13671275
17,0.371270316,0.213425129,-158,0.394041082,0.175324675,-61,0.37001305,0.214285714,-78,0.377930794,0.146567718,-32,0.342048844,0.204365079,21,0.371818412,0.202156334,-391,0.396009237,0.13671275
18,0.365448371,0.21686747,-157,0.391956478,0.175324675,-60,0.365119314,0.214285714,-77,0.374313606,0.150278293,-31,0.331096197,0.206349206,22,0.366246676,0.208894879,-390,0.395071083,0.13671275
19,0.359788146,0.21858864,-156,0.389821029,0.175324675,-59,0.360412006,0.214285714,-76,0.37087074,0.150278293,-30,0.320656227,0.208333333,23,0.360295049,0.212938005,-389,0.394277261,0.13671275
20,0.354774804,0.223752151,-155,0.388804149,0.175324675,-58,0.355331842,0.216269841,-75,0.367297132,0.150278293,-29,0.311334825,0.216269841,24,0.355229834,0.218328841,-388,0.393699935,0.13671275
21,0.3492763,0.230636833,-154,0.386516168,0.175324675,-57,0.350251678,0.218253968,-74,0.363679944,0.152133581,-28,0.301360925,0.222222222,25,0.350386223,0.223719677,-387,0.393086527,0.13671275
22,0.343130913,0.234079174,-153,0.384940004,0.175324675,-56,0.344845265,0.218253968,-73,0.360454981,0.152133581,-27,0.290128635,0.226190476,26,0.344307965,0.233153639,-386,0.392509201,0.13671275
23,0.337713269,0.234079174,-152,0.382550336,0.175324675,-55,0.339998136,0.220238095,-72,0.357055696,0.152133581,-26,0.279968307,0.23015873,27,0.338641256,0.234501348,-385,0.391787544,0.138248848
24,0.332578637,0.235800344,-151,0.380923327,0.177489177,-54,0.335523863,0.222222222,-71,0.353089863,0.153988868,-25,0.268922446,0.234126984,28,0.332689629,0.242587601,-384,0.39110197,0.138248848
25,0.325584216,0.239242685,-150,0.379042099,0.177489177,-53,0.33011745,0.222222222,-70,0.348688225,0.155844156,-24,0.258389262,0.240079365,29,0.326769659,0.246630728,-383,0.390416396,0.138248848
26,0.320166572,0.242685026,-149,0.37716087,0.177489177,-52,0.325363535,0.224206349,-69,0.34533252,0.157699443,-23,0.248228934,0.244047619,30,0.320913005,0.250673854,-382,0.389839071,0.138248848
27,0.314102046,0.249569707,-148,0.375025422,0.17965368,-51,0.320889262,0.226190476,-68,0.341671751,0.157699443,-22,0.238348248,0.25,31,0.314454856,0.252021563,-381,0.389045248,0.138248848
28,0.307714078,0.253012048,-147,0.372940818,0.181818182,-50,0.316508203,0.228174603,-67,0.337923821,0.157699443,-21,0.227582028,0.253968254,32,0.308471571,0.264150943,-380,0.38817926,0.139784946
29,0.301204819,0.256454389,-146,0.371364653,0.183982684,-49,0.311707681,0.23015873,-66,0.33408873,0.159554731,-20,0.214998136,0.259920635,33,0.302235026,0.272237197,-379,0.38742152,0.139784946
30,0.294210399,0.2616179,-145,0.369686801,0.186147186,-48,0.307140194,0.23015873,-65,0.330776606,0.163265306,-19,0.20385906,0.263888889,34,0.295935165,0.281671159,-378,0.386447283,0.139784946
31,0.288105442,0.265060241,-144,0.367856417,0.186147186,-47,0.301360925,0.23015873,-64,0.327072257,0.165120594,-18,0.192393736,0.273809524,35,0.289983538,0.285714286,-377,0.385942123,0.139784946
32,0.280544999,0.278829604,-143,0.366229408,0.186147186,-46,0.295721477,0.23015873,-63,0.322975682,0.165120594,-17,0.180695377,0.277777778,36,0.284475117,0.297843666,-376,0.38540088,0.139784946
33,0.272216382,0.282271945,-142,0.36383974,0.186147186,-45,0.290268456,0.23015873,-62,0.319271333,0.168831169,-16,0.16848434,0.279761905,37,0.27760542,0.308625337,-375,0.384607058,0.141321045
34,0.264655939,0.290877797,-141,0.361704291,0.186147186,-44,0.284489187,0.232142857,-61,0.315523403,0.170686456,-15,0.156506339,0.283730159,38,0.271115614,0.318059299,-374,0.383957567,0.141321045
35,0.256408183,0.294320138,-140,0.359924751,0.186147186,-43,0.27898956,0.236111111,-60,0.311034603,0.172541744,-14,0.144901193,0.287698413,39,0.264340889,0.326145553,-373,0.383127661,0.141321045
36,0.24884774,0.30636833,-139,0.357992678,0.188311688,-42,0.27353654,0.238095238,-59,0.306763706,0.174397032,-13,0.133901939,0.299603175,40,0.25775611,0.334231806,-372,0.382442087,0.141321045
37,0.241085146,0.316695353,-138,0.355958918,0.188311688,-41,0.268130127,0.240079365,-58,0.303190098,0.179962894,-12,0.12266965,0.307539683,41,0.249525136,0.342318059,-371,0.381612182,0.142857143
38,0.233726854,0.321858864,-137,0.354281066,0.188311688,-40,0.261884787,0.240079365,-57,0.298657718,0.179962894,-11,0.111717002,0.31547619,42,0.241990629,0.357142857,-370,0.381034856,0.142857143
39,0.225438667,0.328743546,-136,0.352603213,0.188311688,-39,0.256245339,0.242063492,-56,0.294386821,0.185528757,-10,0.101323639,0.331349206,43,0.235184247,0.359838275,-369,0.380565779,0.142857143
40,0.217473923,0.335628227,-135,0.350874517,0.192640693,-38,0.250093214,0.248015873,-55,0.289723699,0.185528757,-9,0.091070097,0.349206349,44,0.228789414,0.371967655,-368,0.379663708,0.142857143
41,0.21015606,0.344234079,-134,0.349298353,0.192640693,-37,0.243847875,0.248015873,-54,0.285104158,0.189239332,-8,0.080536913,0.363095238,45,0.221159934,0.382749326,-367,0.378509057,0.142857143
42,0.203080779,0.34767642,-133,0.347773032,0.192640693,-36,0.237602535,0.248015873,-53,0.280484616,0.19109462,-7,0.069817301,0.382936508,46,0.213340509,0.404312668,-366,0.377967814,0.144393241
43,0.195762917,0.364888124,-132,0.345993492,0.192640693,-35,0.233221477,0.248015873,-52,0.276388041,0.192949907,,,,,,,-365,0.376993577,0.145929339
44,0.187474731,0.371772806,-131,0.343756356,0.192640693,-34,0.227209172,0.253968254,-51,0.27098405,0.194805195,,,,,,,-364,0.376308003,0.145929339
45,0.178377941,0.385542169,-130,0.342129347,0.192640693,-33,0.221895973,0.261904762,-50,0.265710799,0.19851577,,,,,,,-363,0.375730678,0.145929339
46,0.169645023,0.406196213,-129,0.340197275,0.192640693,-32,0.215370992,0.263888889,-49,0.260873355,0.19851577,,,,,,,-362,0.374756441,0.145929339
,,,-128,0.337705918,0.192640693,-31,0.208612975,0.267857143,-48,0.256340974,0.200371058,,,,,,,-361,0.373998701,0.145929339
,,,-127,0.33582469,0.192640693,-30,0.201715138,0.273809524,-47,0.250980563,0.202226345,,,,,,,-360,0.373277044,0.147465438
,,,-126,0.334146838,0.192640693,-29,0.196355332,0.275793651,-46,0.246361022,0.204081633,,,,,,,-359,0.372519304,0.147465438
,,,-125,0.331808013,0.192640693,-28,0.188804996,0.277777778,-45,0.241872222,0.207792208,,,,,,,-358,0.371472902,0.147465438
,,,-124,0.329875941,0.194805195,-27,0.18158091,0.285714286,-44,0.236947616,0.209647495,,,,,,,-357,0.370787328,0.147465438
,,,-123,0.327638804,0.194805195,-26,0.175055928,0.287698413,-43,0.231935849,0.211502783,,,,,,,-356,0.370137836,0.147465438
,,,-122,0.3255542,0.196969697,-25,0.168204698,0.287698413,-42,0.227054824,0.218923933,,,,,,,-355,0.369596594,0.147465438
,,,-121,0.323622127,0.196969697,-24,0.161120433,0.287698413,-41,0.221607252,0.222634508,,,,,,,-354,0.368766688,0.147465438
,,,-120,0.321740899,0.201298701,-23,0.15445563,0.291666667,-40,0.216464743,0.222634508,,,,,,,-353,0.367792451,0.147465438
,,,-119,0.319656294,0.203463203,-22,0.146439224,0.291666667,-39,0.21093001,0.226345083,,,,,,,-352,0.367179043,0.147465438
,,,-118,0.317673378,0.205627706,-21,0.13902871,0.291666667,-38,0.206092565,0.228200371,,,,,,,-351,0.366421303,0.149001536
,,,-117,0.315487086,0.207792208,-20,0.131944444,0.295634921,-37,0.200993637,0.231910946,,,,,,,-350,0.365807895,0.149001536
,,,-116,0.313910921,0.207792208,-19,0.124906786,0.297619048,-36,0.195763968,0.231910946,,,,,,,-349,0.364797575,0.149001536
,,,-115,0.310707749,0.207792208,-18,0.117775913,0.301587302,-35,0.190926523,0.237476809,,,,,,,-348,0.36422025,0.149001536
,,,-114,0.308673988,0.207792208,-17,0.110551827,0.303571429,-34,0.185827595,0.239332096,,,,,,,-347,0.363354261,0.150537634
,,,-113,0.306182632,0.207792208,-16,0.102628635,0.307539683,-33,0.180292862,0.246753247,,,,,,,-346,0.362560439,0.150537634
,,,-112,0.303640431,0.20995671,-15,0.095357942,0.311507937,-32,0.174060838,0.250463822,,,,,,,-345,0.361802699,0.150537634
,,,-111,0.301403295,0.20995671,-14,0.08790082,0.319444444,-31,0.168787588,0.256029685,,,,,,,-344,0.360792379,0.150537634
,,,-110,0.29957291,0.20995671,-13,0.079791201,0.333333333,-30,0.16368866,0.257884972,,,,,,,-343,0.359854225,0.152073733
,,,-109,0.297691682,0.212121212,-12,0.07293997,0.343253968,-29,0.158153927,0.263450835,,,,,,,-342,0.3592769,0.152073733
,,,-108,0.295810454,0.212121212,-11,0.064597315,0.359126984,-28,0.152706354,0.27458256,,,,,,,-341,0.358663491,0.152073733
,,,-107,0.293624161,0.212121212,-10,0.057280015,0.376984127,-27,0.148086813,0.276437848,,,,,,,-340,0.358050083,0.153609831
,,,-106,0.291285337,0.212121212,-9,0.049310216,0.388888889,-26,0.142769982,0.278293135,,,,,,,-339,0.35700368,0.153609831
,,,-105,0.288590604,0.212121212,-8,0.043577554,0.400793651,-25,0.137278829,0.282003711,,,,,,,-338,0.356462438,0.153609831
,,,-104,0.286200936,0.214285714,,,,-24,0.131221128,0.287569573,,,,,,,-337,0.355740781,0.153609831
,,,-103,0.283963799,0.218614719,,,,-23,0.1261222,0.287569573,,,,,,,-336,0.355019124,0.153609831
,,,-102,0.281980883,0.218614719,,,,-22,0.120456724,0.287569573,,,,,,,-335,0.354261384,0.153609831
,,,-101,0.279743746,0.222943723,,,,-21,0.11483483,0.293135436,,,,,,,-334,0.353503644,0.153609831
,,,-100,0.27699817,0.222943723,,,,-20,0.109953805,0.294990724,,,,,,,-333,0.352745905,0.153609831
,,,-99,0.274710189,0.225108225,,,,-19,0.104419071,0.298701299,,,,,,,-332,0.352024248,0.153609831
,,,-98,0.272015457,0.225108225,,,,-18,0.099450885,0.302411874,,,,,,,-331,0.350905679,0.153609831
,,,-97,0.268659752,0.229437229,,,,-17,0.094046893,0.306122449,,,,,,,-330,0.350184023,0.153609831
,,,-96,0.265812487,0.231601732,,,,-16,0.08934019,0.319109462,,,,,,,-329,0.349462366,0.153609831
,,,-95,0.263626195,0.231601732,,,,-15,0.084197682,0.324675325,,,,,,,-328,0.348488129,0.153609831
,,,-94,0.26128737,0.235930736,,,,-14,0.07883727,0.3283859,,,,,,,-327,0.347513892,0.153609831
,,,-93,0.258033354,0.238095238,,,,-13,0.073956245,0.3283859,,,,,,,-326,0.346900484,0.153609831
,,,-92,0.255592841,0.238095238,,,,-12,0.068508673,0.330241187,,,,,,,-325,0.346106661,0.153609831
,,,-91,0.253203173,0.238095238,,,,-11,0.062973939,0.33580705,,,,,,,-324,0.345276755,0.153609831
,,,-90,0.250660972,0.242424242,,,,-10,0.057875011,0.350649351,,,,,,,-323,0.344735513,0.153609831
,,,-89,0.247915396,0.242424242,,,,-9,0.052427438,0.358070501,,,,,,,-322,0.343653027,0.153609831
,,,-88,0.246085011,0.242424242,,,,-8,0.046936285,0.361781076,,,,,,,-321,0.34318395,0.153609831
,,,-87,0.243034371,0.244588745,,,,-7,0.042098841,0.367346939,,,,,,,-320,0.342462293,0.153609831
,,,-86,0.240644702,0.244588745,,,,-6,0.036607688,0.382189239,,,,,,,-319,0.34127156,0.153609831
,,,-85,0.238153346,0.244588745,,,,-5,0.03224963,0.40445269,,,,,,,-318,0.340658151,0.153609831
,,,-84,0.235611145,0.248917749,,,,,,,,,,,,,-317,0.339828246,0.153609831
,,,-83,0.232967256,0.253246753,,,,,,,,,,,,,-316,0.339287003,0.155145929
,,,-82,0.22996746,0.257575758,,,,,,,,,,,,,-315,0.33849318,0.155145929
,,,-81,0.227882855,0.257575758,,,,,,,,,,,,,-314,0.337627192,0.155145929
,,,-80,0.225645719,0.257575758,,,,,,,,,,,,,-313,0.336905535,0.155145929
,,,-79,0.22223917,0.25974026,,,,,,,,,,,,,-312,0.336147795,0.155145929
,,,-78,0.219493594,0.25974026,,,,,,,,,,,,,-311,0.335606553,0.156682028
,,,-77,0.217002237,0.25974026,,,,,,,,,,,,,-310,0.334776647,0.158218126
,,,-76,0.214561725,0.25974026,,,,,,,,,,,,,-309,0.334091073,0.159754224
,,,-75,0.212426276,0.25974026,,,,,,,,,,,,,-308,0.333261168,0.159754224
,,,-74,0.20917226,0.25974026,,,,,,,,,,,,,-307,0.332070434,0.159754224
,,,-73,0.206121619,0.25974026,,,,,,,,,,,,,-306,0.331168363,0.159754224
,,,-72,0.203630262,0.25974026,,,,,,,,,,,,,-305,0.33037454,0.161290323
,,,-71,0.200986374,0.25974026,,,,,,,,,,,,,-304,0.329580717,0.161290323
,,,-70,0.197834045,0.261904762,,,,,,,,,,,,,-303,0.328786895,0.161290323
,,,-69,0.194986781,0.261904762,,,,,,,,,,,,,-302,0.328173486,0.161290323
,,,-68,0.191834452,0.261904762,,,,,,,,,,,,,-301,0.327451829,0.161290323
,,,-67,0.188936343,0.261904762,,,,,,,,,,,,,-300,0.326261095,0.162826421
,,,-66,0.186241611,0.264069264,,,,,,,,,,,,,-299,0.325647687,0.162826421
,,,-65,0.18344519,0.266233766,,,,,,,,,,,,,-298,0.324853864,0.162826421
,,,-64,0.180445394,0.270562771,,,,,,,,,,,,,-297,0.323951793,0.162826421
,,,-63,0.177547285,0.274891775,,,,,,,,,,,,,-296,0.323121888,0.162826421
,,,-62,0.174039048,0.277056277,,,,,,,,,,,,,-295,0.321858988,0.162826421
,,,-61,0.17088672,0.279220779,,,,,,,,,,,,,-294,0.321281663,0.162826421
,,,-60,0.168141143,0.281385281,,,,,,,,,,,,,-293,0.320054846,0.162826421
,,,-59,0.164988814,0.281385281,,,,,,,,,,,,,-292,0.319441438,0.162826421
,,,-58,0.162344926,0.283549784,,,,,,,,,,,,,-291,0.318611532,0.162826421
,,,-57,0.159599349,0.283549784,,,,,,,,,,,,,-290,0.317384715,0.162826421
,,,-56,0.156752085,0.283549784,,,,,,,,,,,,,-289,0.31705997,0.162826421
,,,-55,0.153701444,0.283549784,,,,,,,,,,,,,-288,0.316193981,0.162826421
,,,-54,0.150854179,0.287878788,,,,,,,,,,,,,-287,0.315327993,0.164362519
,,,-53,0.147803539,0.29004329,,,,,,,,,,,,,-286,0.314425922,0.164362519
,,,-52,0.145312182,0.292207792,,,,,,,,,,,,,-285,0.313163022,0.164362519
,,,-51,0.14236323,0.292207792,,,,,,,,,,,,,-284,0.312513531,0.164362519
,,,-50,0.138956681,0.296536797,,,,,,,,,,,,,-283,0.311755791,0.164362519
,,,-49,0.136211104,0.296536797,,,,,,,,,,,,,-282,0.310745472,0.164362519
,,,-48,0.132906244,0.296536797,,,,,,,,,,,,,-281,0.309951649,0.164362519
,,,-47,0.129398007,0.296536797,,,,,,,,,,,,,-280,0.308796998,0.164362519
,,,-46,0.12588977,0.298701299,,,,,,,,,,,,,-279,0.308147507,0.165898618
,,,-45,0.12334757,0.303030303,,,,,,,,,,,,,-278,0.307028938,0.165898618
,,,-44,0.120957901,0.307359307,,,,,,,,,,,,,-277,0.305838205,0.165898618
,,,-43,0.117703884,0.311688312,,,,,,,,,,,,,-276,0.304900051,0.167434716
,,,-42,0.114907464,0.311688312,,,,,,,,,,,,,-275,0.303961897,0.167434716
,,,-41,0.112263575,0.313852814,,,,,,,,,,,,,-274,0.302879411,0.167434716
,,,-40,0.108958715,0.313852814,,,,,,,,,,,,,-273,0.301580429,0.167434716
,,,-39,0.105552166,0.316017316,,,,,,,,,,,,,-272,0.300678358,0.168970814
,,,-38,0.102704901,0.316017316,,,,,,,,,,,,,-271,0.299920618,0.168970814
,,,-37,0.100264389,0.316017316,,,,,,,,,,,,,-270,0.299198961,0.168970814
,,,-36,0.097722188,0.318181818,,,,,,,,,,,,,-269,0.298224724,0.168970814
,,,-35,0.095383364,0.322510823,,,,,,,,,,,,,-268,0.297394819,0.168970814
,,,-34,0.092637787,0.326839827,,,,,,,,,,,,,-267,0.296673162,0.168970814
,,,-33,0.089739679,0.329004329,,,,,,,,,,,,,-266,0.295879339,0.168970814
,,,-32,0.086536506,0.331168831,,,,,,,,,,,,,-265,0.295085516,0.170506912
,,,-31,0.084045149,0.333333333,,,,,,,,,,,,,-264,0.294075197,0.170506912
,,,-30,0.081706325,0.335497835,,,,,,,,,,,,,-263,0.293317457,0.170506912
,,,-29,0.079265812,0.335497835,,,,,,,,,,,,,-262,0.292271054,0.170506912
,,,-28,0.076672768,0.337662338,,,,,,,,,,,,,-261,0.291044238,0.170506912
,,,-27,0.074486475,0.337662338,,,,,,,,,,,,,-260,0.289853504,0.170506912
,,,-26,0.071334147,0.337662338,,,,,,,,,,,,,-259,0.28891535,0.170506912
,,,-25,0.068436038,0.33982684,,,,,,,,,,,,,-258,0.287977196,0.170506912
,,,-24,0.066758186,0.341991342,,,,,,,,,,,,,-257,0.28714729,0.170506912
,,,-23,0.064012609,0.348484848,,,,,,,,,,,,,-256,0.286173053,0.170506912
,,,-22,0.061928005,0.352813853,,,,,,,,,,,,,-255,0.285126651,0.170506912
,,,-21,0.059029896,0.357142857,,,,,,,,,,,,,-254,0.284152414,0.170506912
,,,-20,0.05628432,0.357142857,,,,,,,,,,,,,-253,0.28346684,0.170506912
,,,-19,0.054047183,0.357142857,,,,,,,,,,,,,-252,0.282889514,0.170506912
,,,-18,0.051454139,0.357142857,,,,,,,,,,,,,-251,0.281879195,0.172043011
,,,-17,0.049369534,0.357142857,,,,,,,,,,,,,-250,0.280796709,0.173579109
,,,-16,0.047132398,0.357142857,,,,,,,,,,,,,-249,0.279966804,0.173579109
