subject,count,KDT.1,PPT.1,PRT.1,RPT.1,RRT.1,KDT(n+1).1,FA.1,FA(n+1).1,KDT.2,PPT.2,PRT.2,RPT.2,RRT.2,KDT(n+1).2,FA.2,FA(n+1).2,KDT.3,PPT.3,PRT.3,RPT.3,RRT.3,KDT(n+1).3,FA.3,FA(n+1).3,KDT.4,PPT.4,PRT.4,RPT.4,RRT.4,KDT(n+1).4,FA.4,FA(n+1).4,KDT.5,PPT.5,PRT.5,RPT.5,RRT.5,KDT(n+1).5,FA.5,FA(n+1).5,KDT.6,PPT.6,PRT.6,RPT.6,RRT.6,KDT(n+1).6,FA.6,FA(n+1).6,KDT.7,PPT.7,PRT.7,RPT.7,RRT.7,KDT(n+1).7,FA.7,FA(n+1).7,KDT.8,PPT.8,PRT.8,RPT.8,RRT.8,KDT(n+1).8,FA.8,FA(n+1).8,KDT.9,PPT.9,PRT.9,RPT.9,RRT.9,KDT(n+1).9,FA.9,FA(n+1).9,KDT.10,PPT.10,PRT.10,RPT.10,RRT.10,KDT(n+1).10,FA.10,FA(n+1).10,KDT.11,PPT.11,PRT.11,RPT.11,RRT.11,KDT(n+1).11,FA.11,FA(n+1).11,KDT.12,PPT.12,PRT.12,RPT.12,RRT.12,KDT(n+1).12,FA.12,FA(n+1).12,KDT.13,PPT.13,PRT.13,RPT.13,RRT.13,KDT(n+1).13,FA.13,FA(n+1).13,KDT.14,PPT.14,PRT.14,RPT.14,RRT.14,KDT(n+1).14,FA.14,FA(n+1).14,KDT.15,PPT.15,PRT.15,RPT.15,RRT.15,KDT(n+1).15,FA.15,FA(n+1).15,KDT.16,PPT.16,PRT.16,RPT.16,RRT.16,KDT(n+1).16,FA.16,FA(n+1).16
USER1,1,75863000,310189999,389853999,234326999,389853999,79664000,0.16862746,0.16862746,79664000,438039000,484985000,358375000,484985000,46946000,0.16862746,0.14117648,46946000,296481000,408431000,249535000,408431000,111950000,0.14117648,0.16470589,111950000,300217000,395692000,188267000,395692000,95475000,0.16470589,0.1764706,95475000,175107000,254849000,79632000,254849000,79742000,0.1764706,0.16470589,79742000,174423000,254294000,94681000,254294000,79871000,0.16470589,0.16862746,79871000,314216000,409585000,234345000,409585000,95369000,0.16862746,0.16470589,95369000,314901000,410284000,219532000,410284000,95383000,0.16470589,0.18431373,95383000,330080000,425431000,234697000,425431000,95351000,0.18431373,0.16470589,95351000,469414000,549249000,374063000,549249000,79835000,0.16470589,0.16862746,79835000,267318001,346411001,187483001,346411001,79093000,0.16862746,0.16470589,79093000,314093999,425645999,235000999,425645999,111552000,0.16470589,0.16078432,111552000,642839000,735560000,531287000,735560000,92721000,0.16078432,0.15686275,92721000,203629000,282770000,110908000,282770000,79141000,0.15686275,0.16078432,79141000,220798000,283642000,141657000,283642000,62844000,0.16078432,0.18431373,62844000,1802548001,1878257999,1739704001,1878257999,75709998,0.18431373,0.16470589
USER1,2,76597004,248647004,344401004,172050000,344401004,95754000,0.19607845,0.19607845,95754000,423634000,486325001,327880000,486325001,62691001,0.19607845,0.15294118,62691001,421131000,500268000,358439999,500268000,79137000,0.15294118,0.16862746,79137000,251699000,331045000,172562000,331045000,79346000,0.16862746,0.1764706,79346000,159227001,254739999,79881001,254739999,95512998,0.1764706,0.18431373,95512998,175383999,270797999,79871001,270797999,95414000,0.18431373,0.1764706,95414000,299113000,394597000,203699000,394597000,95484000,0.1764706,0.18039216,95484000,330188000,409560000,234704000,409560000,79372000,0.18039216,0.18431373,79372000,329029000,408331000,249657000,408331000,79302000,0.18431373,0.1764706,79302000,515371000,610800000,436069000,610800000,95429000,0.1764706,0.18431373,95429000,253250000,331868000,157821000,331868000,78618000,0.18431373,0.18039216,78618000,266788000,362158000,188170000,362158000,95370000,0.18039216,0.15686275,95370000,531125000,594311000,435755000,594311000,63186000,0.15686275,0.16078432,63186000,219954000,299271000,156768000,299271000,79317000,0.16078432,0.1764706,79317000,205287000,284797000,125970000,284797000,79510000,0.1764706,0.17254902,79510000,1106181999,1182736999,1026671999,1182736999,76555000,0.17254902,0.14117648
USER1,3,76712000,326546000,405949000,249834000,405949000,79403000,0.1764706,0.19215688,79403000,406778000,469730000,327375000,469730000,62952000,0.19215688,0.1254902,62952000,421036000,517112999,358084000,517112999,96076999,0.1254902,0.16470589,96076999,469444999,549015999,373368000,549015999,79571000,0.16470589,0.16862746,79571000,174893000,270255000,95322000,270255000,95362000,0.16862746,0.17254902,95362000,237361000,300304000,141999000,300304000,62943000,0.17254902,0.1764706,62943000,235653000,347939000,172710000,347939000,112286000,0.1764706,0.17254902,112286000,377635000,456685001,265349000,456685001,79050001,0.17254902,0.18039216,79050001,220746000,316265000,141695999,316265000,95519000,0.18039216,0.16862746,95519000,376597000,488761000,281078000,488761000,112164000,0.16862746,0.16862746,112164000,423827000,486776000,311663000,486776000,62949000,0.16862746,0.18039216,62949000,281734000,377358001,218785000,377358001,95624001,0.18039216,0.16470589,95624001,423262001,502553001,327638000,502553001,79291000,0.16470589,0.17254902,79291000,205396000,285031000,126105000,285031000,79635000,0.17254902,0.1764706,79635000,205787000,285296000,126152000,285296000,79509000,0.1764706,0.19215688,79509000,611736000,703914000,532227000,703914000,92178000,0.19215688,0.17254902
USER1,4,76296000,326025000,421578000,249729000,421578000,95553000,0.1764706,0.18823531,95553000,407780000,486826000,312227000,486826000,79046000,0.18823531,0.15294118,79046000,483804000,579547000,404758000,579547000,95743000,0.15294118,0.16470589,95743000,500248000,580410000,404505000,580410000,80162000,0.16470589,0.18431373,80162000,221088000,300633000,140926000,300633000,79545000,0.18431373,0.1764706,79545000,251949000,347565000,172404000,347565000,95616000,0.1764706,0.17254902,95616000,268530000,380469000,172914000,380469000,111939000,0.17254902,0.18039216,111939000,346330000,426152000,234391000,426152000,79822000,0.18039216,0.1764706,79822000,313936000,393293000,234114000,393293000,79357000,0.1764706,0.17254902,79357000,765751001,842147001,686394001,842147001,76396000,0.17254902,0.16862746,76396000,248697000,328380000,172301000,328380000,79683000,0.16862746,0.16470589,79683000,283099000,363061000,203416000,363061000,79962000,0.16470589,0.15294118,79962000,874197998,950711999,794235998,950711999,76514001,0.15294118,0.16862746,76514001,217793001,297219001,141279000,297219001,79426000,0.16862746,0.1764706,79426000,205456000,284941000,126030000,284941000,79485000,0.1764706,0.18823531,79485000,686333000,781476000,606848000,781476000,95143000,0.18823531,0.17254902
USER1,5,76305000,310651000,390300000,234346000,390300000,79649000,0.17254902,0.1764706,79649000,345065000,407871000,265416000,407871000,62806000,0.1764706,0.15686275,62806000,950213000,1027016000,887407000,1027016000,76803000,0.15686275,0.16862746,76803000,496899000,560428000,420096000,560428000,63529000,0.16862746,0.17254902,63529000,189057000,268832000,125528000,268832000,79775000,0.17254902,0.18039216,79775000,283119000,362781000,203344000,362781000,79662000,0.18039216,0.1764706,79662000,267629000,363178000,187967000,363178000,95549000,0.1764706,0.17254902,95549000,345611000,457387000,250062000,457387000,111776000,0.17254902,0.1764706,111776000,330803000,410023000,219027000,410023000,79220000,0.1764706,0.15686275,79220000,628081000,686820000,548861000,686820000,58739000,0.15686275,0.16862746,58739000,277074000,340413000,218335000,340413000,63339000,0.16862746,0.17254902,63339000,266620000,362176000,203281000,362176000,95556000,0.17254902,0.15686275,95556000,952685001,1028712001,857129001,1028712001,76027000,0.15686275,0.16078432,76027000,202660000,281676000,126633000,281676000,79016000,0.16078432,0.17254902,79016000,189901000,269533998,110885000,269533998,79632998,0.17254902,0.18039216,79632998,561829998,640923998,482197000,640923998,79094000,0.18039216,0.16078432
USER1,6,76285000,1087831998,1147948001,1011546998,1147948001,60116003,0.18039216,0.18039216,60116003,418279003,481409003,358163000,481409003,63130000,0.18039216,0.15686275,63130000,390843000,486625000,327713000,486625000,95782000,0.15686275,0.16862746,95782000,330311000,409199000,234529000,409199000,78888000,0.16862746,0.16078432,78888000,174583001,269796000,95695001,269796000,95212999,0.16078432,0.17254902,95212999,221364999,316942000,126152000,316942000,95577001,0.17254902,0.1764706,95577001,252906000,348590000,157328999,348590000,95684000,0.1764706,0.18431373,95684000,299106000,411040000,203422000,411040000,111934000,0.18431373,0.1764706,111934000,331333001,410564999,219399001,410564999,79231998,0.1764706,0.16862746,79231998,406437998,502430998,327206000,502430998,95993000,0.16862746,0.18823531,95993000,500547000,563346000,404554000,563346000,62799000,0.18823531,0.16862746,62799000,313045000,408562000,250246000,408562000,95517000,0.16862746,0.16470589,95517000,593241000,672354000,497724000,672354000,79113000,0.16470589,0.16078432,79113000,205076000,300649000,125963000,300649000,95573000,0.16078432,0.1764706,95573000,222051000,284918000,126478000,284918000,62867000,0.1764706,0.19215688,62867000,421693000,500566000,358826000,500566000,78873000,0.19215688,0.16470589
USER1,7,75472001,356401001,419281001,280929000,419281001,62880000,0.16078432,0.18431373,62880000,467646000,514272000,404766000,514272000,46626000,0.18431373,0.15686275,46626000,578139000,654515000,531513000,654515000,76376000,0.15686275,0.17254902,76376000,435071000,513991000,358695000,513991000,78920000,0.17254902,0.18431373,78920000,189557000,268708000,110637000,268708000,79151000,0.18431373,0.19215688,79151000,221086000,300106000,141935000,300106000,79020000,0.19215688,0.19607845,79020000,236215000,315651000,157195000,315651000,79436000,0.19607845,0.1764706,79436000,282940000,378648000,203504000,378648000,95708000,0.1764706,0.17254902,95708000,345981000,408844000,250273000,408844000,62863000,0.17254902,0.16470589,62863000,359331000,438797000,296468000,438797000,79466000,0.16470589,0.17254902,79466000,283150001,362578000,203684001,362578000,79427999,0.17254902,0.17254902,79427999,282768999,362067999,203341000,362067999,79299000,0.17254902,0.16470589,79299000,766369999,842011000,687070999,842011000,75641001,0.16470589,0.15294118,75641001,217212001,296471001,141571000,296471001,79259000,0.15294118,0.1764706,79259000,220735000,284130000,141476000,284130000,63395000,0.1764706,0.18039216,63395000,514375000,560952000,450980000,560952000,46577000,0.18039216,0.10196079
USER1,8,75717000,372341000,451399000,296624000,451399000,79058000,0.16078432,0.18039216,79058000,453592000,532167000,374534000,532167000,78575000,0.18039216,0.15294118,78575000,611295000,702968000,532720000,702968000,91673000,0.15294118,0.16470589,91673000,372508001,452117999,280835001,452117999,79609998,0.16470589,0.17254902,79609998,205674998,285204998,126065000,285204998,79530000,0.17254902,0.16862746,79530000,236418000,315913000,156888000,315913000,79495000,0.16862746,0.18039216,79495000,251883000,347514000,172388000,347514000,95631000,0.18039216,0.18039216,95631000,392231000,455256000,296600000,455256000,63025000,0.18039216,0.18039216,63025000,266675001,345599001,203650001,345599001,78924000,0.18039216,0.18039216,78924000,391008000,519375000,312084000,519375000,128367000,0.18039216,0.17254902,128367000,783829000,860501000,655462000,860501000,76672000,0.17254902,0.16862746,76672000,310562000,406384000,233890000,406384000,95822000,0.16862746,0.1764706,95822000,454396000,517206000,358574000,517206000,62810000,0.1764706,0.16470589,62810000,204532000,283507000,141722000,283507000,78975000,0.16470589,0.1764706,78975000,189785000,269011000,110810000,269011000,79226000,0.1764706,0.18823531,79226000,468584000,564022000,389358000,564022000,95438000,0.18823531,0.16078432
USER1,9,76140000,403236000,482616000,327096000,482616000,79380000,0.17254902,0.1764706,79380000,407074000,486123000,327694000,486123000,79049000,0.1764706,0.16470589,79049000,515013000,610439000,435964000,610439000,95426000,0.16470589,0.1764706,95426000,453576000,533210000,358150000,533210000,79634000,0.1764706,0.1764706,79634000,220908000,316513000,141274000,316513000,95605000,0.1764706,0.18431373,95605000,299330000,362379000,203725000,362379000,63049000,0.18431373,0.16862746,63049000,312816000,408351000,249767000,408351000,95535000,0.16862746,0.18039216,95535000,392139000,471349000,296604000,471349000,79210000,0.18039216,0.18431373,79210000,359918000,423117000,280708000,423117000,63199000,0.18431373,0.16470589,63199000,452433000,532074000,389234000,532074000,79641000,0.16470589,0.1764706,79641000,236764000,316204000,157123000,316204000,79440000,0.1764706,0.17254902,79440000,314183000,376742000,234743000,376742000,62559000,0.17254902,0.14509805,62559000,529391000,608861000,466832000,608861000,79470000,0.14509805,0.17254902,79470000,205210000,284778000,125740000,284778000,79568000,0.17254902,0.17254902,79568000,236470000,332216000,156902000,332216000,95746000,0.17254902,0.18823531,95746000,562436000,658079000,466690000,658079000,95643000,0.18823531,0.16862746
USER1,10,59800000,963119000,1039462999,903319000,1039462999,76343999,0.1764706,0.16862746,76343999,450269999,529551999,373926000,529551999,79282000,0.16862746,0.16470589,79282000,452946000,532320000,373664000,532320000,79374000,0.16470589,0.18039216,79374000,391222000,470551000,311848000,470551000,79329000,0.18039216,0.1764706,79329000,205380000,301020000,126051000,301020000,95640000,0.1764706,0.17254902,95640000,252705000,332460000,157065000,332460000,79755000,0.17254902,0.17254902,79755000,252043000,347817000,172288000,347817000,95774000,0.17254902,0.18039216,95774000,345970000,425062000,250196000,425062000,79092000,0.18039216,0.18431373,79092000,282864000,378377000,203772000,378377000,95513000,0.18431373,0.16470589,95513000,422972000,518338000,327459000,518338000,95366000,0.16470589,0.16470589,95366000,673724999,733845999,578358999,733845999,60121000,0.16470589,0.1764706,60121000,232734000,328414000,172613000,328414000,95680000,0.1764706,0.17254902,95680000,891097001,966681001,795417001,966681001,75584000,0.17254902,0.16862746,75584000,731066999,807080001,655482999,807080001,76013002,0.16862746,0.16862746,76013002,465484000,528540000,389470998,528540000,63056000,0.16862746,0.16862746,63056000,764923001,808082001,701867001,808082001,43159000,0.16862746,0.14117648
