subject,holdtime1,downdown1,updown1,pressure1,fingerarea1,holdtime2,downdown2,updown2,pressure2,fingerarea2,holdtime3,downdown3,updown3,pressure3,fingerarea3,holdtime4,downdown4,updown4,pressure4,fingerarea4,holdtime5,downdown5,updown5,pressure5,fingerarea5,holdtime6,downdown6,updown6,pressure6,fingerarea6,holdtime7,downdown7,updown7,pressure7,fingerarea7,holdtime8,downdown8,updown8,pressure8,fingerarea8,holdtime9,downdown9,updown9,pressure9,fingerarea9,holdtime10,downdown10,updown10,pressure10,fingerarea10,holdtime11,downdown11,updown11,pressure11,fingerarea11,holdtime12,downdown12,updown12,pressure12,fingerarea12,holdtime13,pressure13,fingerarea13,meanholdtime,meanpressure,meanfingerarea,meanxaccelaration,meanyaccelaration,meanzaccelaration,velocity,totaltime,totaldistance
600,78,415,337,0.0912,0.225806,117,210,93,0.1056,0.290323,115,1142,1027,0.1536,0.290323,135,795,660,0.1632,0.354839,117,468,351,0.1248,0.258065,118,908,790,0.216,0.290323,116,785,669,0.1056,0.258065,96,1003,907,0.168,0.322581,122,1217,1095,0.1968,0.354839,122,1136,1014,0.1344,0.258065,147,240,93,0.0864,0.290323,147,361,214,0.144,0.322581,127,0.192,0.387097,119.769231,0.144738,0.300248,0.839605,4.742188,8.521977,0.637459,8807,326.067663
600,88,460,372,0.0912,0.193548,114,473,359,0.1152,0.258065,124,430,306,0.1056,0.290323,112,395,283,0.1536,0.387097,129,338,209,0.12,0.258065,118,570,452,0.1728,0.354839,101,616,515,0.0864,0.129032,119,679,560,0.1104,0.225806,104,408,304,0.1776,0.387097,146,392,246,0.12,0.258065,128,249,121,0.0912,0.258065,104,354,250,0.1248,0.225806,119,0.1824,0.387097,115.846154,0.127015,0.277916,1.125194,4.784029,8.449322,0.85614,5483,335.213741
600,102,169,67,0.1104,0.193548,115,366,251,0.1632,0.322581,89,377,288,0.1248,0.290323,108,281,173,0.1584,0.290323,130,295,165,0.1248,0.193548,138,367,229,0.1872,0.354839,123,650,527,0.1344,0.258065,129,498,369,0.1344,0.290323,111,429,318,0.144,0.258065,123,375,252,0.1248,0.193548,100,156,56,0.0528,0.16129,133,340,207,0.1344,0.225806,136,0.1824,0.387097,118.230769,0.136615,0.263027,0.874033,4.601471,8.57031,1.2454,4439,334.915861
600,101,1381,1280,0.1152,0.225806,128,734,606,0.1248,0.290323,128,576,448,0.1008,0.258065,124,454,330,0.168,0.354839,150,339,189,0.1248,0.258065,137,328,191,0.1632,0.258065,119,551,432,0.1152,0.258065,132,748,616,0.1344,0.258065,111,323,212,0.1536,0.354839,154,542,388,0.1296,0.258065,119,217,98,0.0768,0.193548,128,313,185,0.1056,0.193548,113,0.1536,0.322581,126.461538,0.128123,0.26799,0.759768,4.510549,8.645048,0.826038,6619,339.141605
600,102,447,345,0.1008,0.225806,114,442,328,0.144,0.290323,106,556,450,0.24,0.645161,111,289,178,0.144,0.290323,114,276,162,0.1104,0.225806,145,387,242,0.1776,0.290323,133,588,455,0.1392,0.225806,114,526,412,0.1344,0.258065,104,303,199,0.1488,0.322581,113,280,167,0.12,0.193548,140,153,13,0.1152,0.258065,136,297,161,0.216,0.193548,145,0.1776,0.322581,121.307692,0.151385,0.287841,0.702065,4.729987,8.523864,1.114825,4689,329.966728
600,138,274,136,0.1248,0.225806,132,334,202,0.12,0.290323,99,396,297,0.1152,0.354839,119,288,169,0.1392,0.290323,158,276,118,0.12,0.322581,150,379,229,0.1872,0.387097,152,602,450,0.1248,0.193548,115,546,431,0.144,0.290323,107,328,221,0.144,0.322581,124,258,134,0.1344,0.290323,70,169,99,0.0624,0.258065,136,334,198,0.1152,0.193548,126,0.1776,0.387097,125.076923,0.131446,0.292804,0.580214,4.886278,8.45045,1.180826,4310,338.877006
600,103,459,356,0.1152,0.225806,113,233,120,0.1488,0.290323,109,585,476,0.12,0.290323,119,241,122,0.1296,0.290323,126,275,149,0.12,0.193548,121,414,293,0.1632,0.290323,111,518,407,0.1248,0.258065,109,479,370,0.1344,0.225806,110,253,143,0.144,0.354839,147,286,139,0.1248,0.322581,120,132,12,0.0864,0.225806,153,321,168,0.192,0.258065,120,0.1872,0.354839,120.076923,0.137723,0.275434,0.589112,5.166952,8.284076,1.234672,4316,343.556976
600,135,447,312,0.1296,0.290323,113,346,233,0.1296,0.354839,120,432,312,0.1344,0.225806,114,266,152,0.1584,0.387097,137,268,131,0.1344,0.322581,167,442,275,0.1824,0.290323,130,553,423,0.1248,0.225806,114,802,688,0.1392,0.258065,89,380,291,0.144,0.258065,130,755,625,0.1248,0.225806,106,205,99,0.0816,0.258065,133,337,204,0.1152,0.258065,163,0.1728,0.419355,127,0.136246,0.290323,0.46101,5.181904,8.279276,0.878058,5396,322.977326
600,130,429,299,0.1248,0.290323,95,207,112,0.1392,0.322581,70,431,361,0.1488,0.258065,89,282,193,0.1536,0.354839,136,274,138,0.1248,0.322581,130,337,207,0.168,0.387097,128,575,447,0.1296,0.258065,117,534,417,0.1344,0.225806,111,372,261,0.1488,0.354839,140,239,99,0.1344,0.258065,93,105,12,0.1008,0.290323,139,298,159,0.2208,0.193548,137,0.1728,0.322581,116.538462,0.146215,0.295285,0.38039,5.114602,8.307281,1.352823,4220,338.788444
600,117,288,171,0.1296,0.258065,114,235,121,0.1248,0.322581,110,373,263,0.144,0.290323,102,217,115,0.192,0.419355,126,270,144,0.1296,0.322581,131,349,218,0.1728,0.322581,113,473,360,0.1344,0.193548,123,651,528,0.144,0.258065,112,404,292,0.144,0.258065,114,233,119,0.1392,0.225806,111,134,23,0.0768,0.258065,124,306,182,0.1632,0.258065,104,0.2016,0.354839,115.461538,0.145846,0.287841,0.508388,5.172822,8.273463,1.304319,4037,326.4165
